learner_id,certification_id,module_id,module_name,completion_status,completion_score,completed_on,source_system
L00007,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00008,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,91,2026-02-21,LMS
L00008,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,82,2026-05-22,LMS
L00008,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,81,2026-02-09,LMS
L00009,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,82,2026-05-21,LMS
L00009,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-06-01,LMS
L00009,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,78,2026-05-24,LMS
L00010,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,99,2026-03-30,LMS
L00010,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,89,2026-03-18,LMS
L00010,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,81,2026-04-13,LMS
L00011,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,73,2026-02-26,LMS
L00011,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,88,2026-02-12,LMS
L00011,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-05-23,LMS
L00012,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,80,2026-05-10,LMS
L00012,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00012,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,83,2026-03-17,LMS
L00013,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00013,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00013,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00014,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00014,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,70,2026-03-19,LMS
L00014,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,74,2026-04-24,LMS
L00015,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,85,2026-02-28,LMS
L00015,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,97,2026-02-13,LMS
L00015,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,89,2026-02-14,LMS
L00016,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00016,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-05-24,LMS
L00016,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00017,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,82,2026-04-26,LMS
L00017,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00017,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00018,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,73,2026-04-20,LMS
L00018,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,68,2026-04-29,LMS
L00018,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,78,2026-05-05,LMS
L00019,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00019,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-03-10,LMS
L00019,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,76,2026-03-18,LMS
L00020,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,86,2026-04-10,LMS
L00020,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,92,2026-02-16,LMS
L00020,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00021,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00021,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,85,2026-05-01,LMS
L00021,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,87,2026-03-03,LMS
L00022,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,89,2026-05-23,LMS
L00022,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00022,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,81,2026-02-21,LMS
L00023,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00023,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,87,2026-03-18,LMS
L00023,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-03-05,LMS
L00024,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,77,2026-02-18,LMS
L00024,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,93,2026-06-05,LMS
L00024,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,90,2026-05-16,LMS
L00025,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00025,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,74,2026-04-09,LMS
L00025,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,82,2026-06-05,LMS
L00026,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,96,2026-04-28,LMS
L00026,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,67,2026-06-05,LMS
L00026,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,79,2026-05-03,LMS
L00027,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,80,2026-02-16,LMS
L00027,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,74,2026-03-23,LMS
L00027,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00028,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,96,2026-05-04,LMS
L00028,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,89,2026-04-30,LMS
L00028,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,79,2026-06-06,LMS
L00029,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,83,2026-03-16,LMS
L00029,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,73,2026-06-04,LMS
L00029,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,78,2026-04-25,LMS
L00030,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,81,2026-02-07,LMS
L00030,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,88,2026-02-15,LMS
L00030,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00031,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00031,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,76,2026-02-24,LMS
L00031,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00032,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,74,2026-02-14,LMS
L00032,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,74,2026-05-19,LMS
L00032,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,93,2026-04-12,LMS
L00033,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00033,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,79,2026-03-27,LMS
L00033,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,82,2026-02-08,LMS
L00034,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00034,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,72,2026-05-30,LMS
L00034,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,70,2026-04-17,LMS
L00035,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,68,2026-03-25,LMS
L00035,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,67,2026-02-07,LMS
L00035,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,94,2026-03-07,LMS
L00036,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00036,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00036,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,83,2026-03-04,LMS
L00037,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00037,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,86,2026-04-03,LMS
L00037,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,70,2026-03-05,LMS
L00038,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00038,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,88,2026-05-14,LMS
L00038,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,93,2026-05-08,LMS
L00039,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00039,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00039,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,88,2026-05-29,LMS
L00040,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,81,2026-02-15,LMS
L00040,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,94,2026-03-21,LMS
L00040,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,84,2026-05-23,LMS
L00041,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,93,2026-05-28,LMS
L00041,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,93,2026-05-09,LMS
L00041,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-05-20,LMS
L00042,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,75,2026-05-19,LMS
L00042,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00042,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00043,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,73,2026-02-14,LMS
L00043,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,89,2026-03-29,LMS
L00043,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,69,2026-05-05,LMS
L00044,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,92,2026-04-18,LMS
L00044,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,89,2026-03-12,LMS
L00044,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00045,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,98,2026-02-23,LMS
L00045,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,65,2026-04-09,LMS
L00045,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,79,2026-03-31,LMS
L00046,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,95,2026-02-18,LMS
L00046,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,95,2026-02-14,LMS
L00046,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,78,2026-04-08,LMS
L00047,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,79,2026-04-14,LMS
L00047,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,67,2026-02-13,LMS
L00047,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,71,2026-03-17,LMS
L00048,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,90,2026-05-14,LMS
L00048,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00048,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,80,2026-06-02,LMS
L00049,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00049,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00049,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,86,2026-02-17,LMS
L00050,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,97,2026-03-03,LMS
L00050,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,83,2026-03-31,LMS
L00050,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,67,2026-02-12,LMS
L00051,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,92,2026-04-04,LMS
L00051,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00051,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,73,2026-05-18,LMS
L00052,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,86,2026-05-11,LMS
L00052,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,81,2026-04-01,LMS
L00052,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,69,2026-03-18,LMS
L00053,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,83,2026-03-20,LMS
L00053,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,80,2026-03-14,LMS
L00053,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,84,2026-04-03,LMS
L00054,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,98,2026-02-24,LMS
L00054,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,80,2026-03-07,LMS
L00054,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,67,2026-03-08,LMS
L00055,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,96,2026-03-20,LMS
L00055,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,92,2026-05-07,LMS
L00055,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,84,2026-03-20,LMS
L00056,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00056,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00056,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,75,2026-04-18,LMS
L00057,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,76,2026-05-10,LMS
L00057,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00057,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00058,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,81,2026-04-06,LMS
L00058,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,77,2026-04-17,LMS
L00058,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-03-15,LMS
L00059,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,70,2026-02-15,LMS
L00059,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00059,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00060,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,85,2026-02-14,LMS
L00060,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,83,2026-03-14,LMS
L00060,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,91,2026-05-26,LMS
L00061,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,79,2026-04-14,LMS
L00061,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,89,2026-05-25,LMS
L00061,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,94,2026-04-28,LMS
L00062,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00062,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00062,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,83,2026-02-25,LMS
L00063,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,70,2026-02-18,LMS
L00063,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,79,2026-04-18,LMS
L00063,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,70,2026-04-22,LMS
L00064,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,66,2026-04-01,LMS
L00064,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,81,2026-06-06,LMS
L00064,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,85,2026-02-13,LMS
L00065,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,72,2026-05-09,LMS
L00065,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00065,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00066,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,83,2026-05-28,LMS
L00066,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,77,2026-05-04,LMS
L00066,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00067,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00067,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00067,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00068,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00068,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,90,2026-04-17,LMS
L00068,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,97,2026-06-05,LMS
L00069,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,74,2026-05-12,LMS
L00069,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,94,2026-03-02,LMS
L00069,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,76,2026-04-16,LMS
L00070,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,90,2026-05-02,LMS
L00070,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00070,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00071,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00071,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,81,2026-04-25,LMS
L00071,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,66,2026-03-24,LMS
L00072,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,67,2026-03-08,LMS
L00072,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,81,2026-05-22,LMS
L00072,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,96,2026-04-10,LMS
L00073,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,92,2026-06-03,LMS
L00073,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,77,2026-05-17,LMS
L00073,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,86,2026-03-09,LMS
L00074,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,100,2026-02-27,LMS
L00074,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,88,2026-04-17,LMS
L00074,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,99,2026-03-04,LMS
L00075,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00075,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-02-15,LMS
L00075,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,96,2026-04-28,LMS
L00076,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,72,2026-05-15,LMS
L00076,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,83,2026-03-05,LMS
L00076,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,96,2026-06-03,LMS
L00077,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,79,2026-02-12,LMS
L00077,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,76,2026-03-06,LMS
L00077,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,93,2026-02-19,LMS
L00078,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,67,2026-02-15,LMS
L00078,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00078,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,89,2026-03-07,LMS
L00079,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,89,2026-02-16,LMS
L00079,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00079,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00080,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00080,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00080,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,98,2026-03-30,LMS
L00081,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00081,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00081,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00082,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00082,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,85,2026-04-21,LMS
L00082,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00083,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,91,2026-04-19,LMS
L00083,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,85,2026-05-13,LMS
L00083,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00084,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,96,2026-02-22,LMS
L00084,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,95,2026-04-07,LMS
L00084,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00085,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,98,2026-02-15,LMS
L00085,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,93,2026-05-07,LMS
L00085,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,85,2026-03-19,LMS
L00086,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,91,2026-05-19,LMS
L00086,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,92,2026-05-02,LMS
L00086,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,99,2026-03-08,LMS
L00087,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,82,2026-02-10,LMS
L00087,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,71,2026-03-17,LMS
L00087,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00088,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,86,2026-05-14,LMS
L00088,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,85,2026-02-23,LMS
L00088,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-05-04,LMS
L00089,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,97,2026-04-04,LMS
L00089,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00089,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,77,2026-05-14,LMS
L00090,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,90,2026-02-16,LMS
L00090,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,86,2026-04-28,LMS
L00090,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,82,2026-05-26,LMS
L00091,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,88,2026-05-15,LMS
L00091,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,65,2026-05-01,LMS
L00091,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,80,2026-02-07,LMS
L00092,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,73,2026-03-14,LMS
L00092,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,74,2026-03-22,LMS
L00092,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,73,2026-05-04,LMS
L00093,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,98,2026-04-07,LMS
L00093,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,98,2026-04-04,LMS
L00093,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,81,2026-04-04,LMS
L00094,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,70,2026-02-20,LMS
L00094,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-03-21,LMS
L00094,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,75,2026-04-15,LMS
L00095,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
