learner_id,certification_id,assessment_id,assessment_name,latest_score,passed,attempts,last_attempt_on,source_system
L00067,cert-enterprise-ai-safety,A-L00067,Certification Readiness Practice Assessment,62,False,1,2026-04-15,AssessmentPlatform
L00068,cert-enterprise-ai-safety,A-L00068,Certification Readiness Practice Assessment,80,True,1,2026-04-14,AssessmentPlatform
L00069,cert-enterprise-ai-safety,A-L00069,Certification Readiness Practice Assessment,73,False,1,2026-04-21,AssessmentPlatform
L00070,cert-enterprise-ai-safety,A-L00070,Certification Readiness Practice Assessment,57,False,1,2026-05-10,AssessmentPlatform
L00071,cert-enterprise-ai-safety,A-L00071,Certification Readiness Practice Assessment,80,True,3,2026-04-13,AssessmentPlatform
L00072,cert-enterprise-ai-safety,A-L00072,Certification Readiness Practice Assessment,82,True,3,2026-04-22,AssessmentPlatform
L00073,cert-enterprise-ai-safety,A-L00073,Certification Readiness Practice Assessment,65,False,3,2026-05-08,AssessmentPlatform
L00074,cert-enterprise-ai-safety,A-L00074,Certification Readiness Practice Assessment,98,True,2,2026-04-28,AssessmentPlatform
L00075,cert-enterprise-ai-safety,A-L00075,Certification Readiness Practice Assessment,75,False,1,2026-04-29,AssessmentPlatform
L00076,cert-enterprise-ai-safety,A-L00076,Certification Readiness Practice Assessment,64,False,3,2026-04-20,AssessmentPlatform
L00077,cert-enterprise-ai-safety,A-L00077,Certification Readiness Practice Assessment,92,True,3,2026-04-15,AssessmentPlatform
L00078,cert-enterprise-ai-safety,A-L00078,Certification Readiness Practice Assessment,67,False,1,2026-06-06,AssessmentPlatform
L00079,cert-enterprise-ai-safety,A-L00079,Certification Readiness Practice Assessment,81,True,2,2026-05-15,AssessmentPlatform
L00080,cert-enterprise-ai-safety,A-L00080,Certification Readiness Practice Assessment,96,True,3,2026-04-11,AssessmentPlatform
L00081,cert-enterprise-ai-safety,A-L00081,Certification Readiness Practice Assessment,68,False,2,2026-05-21,AssessmentPlatform
L00082,cert-enterprise-ai-safety,A-L00082,Certification Readiness Practice Assessment,93,True,3,2026-04-09,AssessmentPlatform
L00083,cert-enterprise-ai-safety,A-L00083,Certification Readiness Practice Assessment,72,False,1,2026-05-29,AssessmentPlatform
L00084,cert-enterprise-ai-safety,A-L00084,Certification Readiness Practice Assessment,70,False,2,2026-05-29,AssessmentPlatform
L00085,cert-enterprise-ai-safety,A-L00085,Certification Readiness Practice Assessment,71,False,1,2026-04-29,AssessmentPlatform
L00086,cert-enterprise-ai-safety,A-L00086,Certification Readiness Practice Assessment,69,False,1,2026-04-29,AssessmentPlatform
L00087,cert-enterprise-ai-safety,A-L00087,Certification Readiness Practice Assessment,80,True,1,2026-04-26,AssessmentPlatform
L00088,cert-enterprise-ai-safety,A-L00088,Certification Readiness Practice Assessment,98,True,1,2026-04-10,AssessmentPlatform
L00089,cert-enterprise-ai-safety,A-L00089,Certification Readiness Practice Assessment,94,True,3,2026-05-20,AssessmentPlatform
L00090,cert-enterprise-ai-safety,A-L00090,Certification Readiness Practice Assessment,92,True,2,2026-06-01,AssessmentPlatform
L00091,cert-enterprise-ai-safety,A-L00091,Certification Readiness Practice Assessment,57,False,2,2026-05-08,AssessmentPlatform
L00092,cert-enterprise-ai-safety,A-L00092,Certification Readiness Practice Assessment,73,False,1,2026-05-30,AssessmentPlatform
L00093,cert-enterprise-ai-safety,A-L00093,Certification Readiness Practice Assessment,99,True,1,2026-05-08,AssessmentPlatform
L00094,cert-enterprise-ai-safety,A-L00094,Certification Readiness Practice Assessment,93,True,3,2026-05-19,AssessmentPlatform
L00095,cert-enterprise-ai-safety,A-L00095,Certification Readiness Practice Assessment,58,False,1,2026-04-17,AssessmentPlatform
L00096,cert-enterprise-ai-safety,A-L00096,Certification Readiness Practice Assessment,95,True,1,2026-04-17,AssessmentPlatform
L00097,cert-enterprise-ai-safety,A-L00097,Certification Readiness Practice Assessment,91,True,2,2026-05-05,AssessmentPlatform
L00098,cert-enterprise-ai-safety,A-L00098,Certification Readiness Practice Assessment,96,True,1,2026-06-06,AssessmentPlatform
L00099,cert-enterprise-ai-safety,A-L00099,Certification Readiness Practice Assessment,67,False,1,2026-04-14,AssessmentPlatform
L00100,cert-enterprise-ai-safety,A-L00100,Certification Readiness Practice Assessment,57,False,3,2026-05-20,AssessmentPlatform
L00101,cert-enterprise-ai-safety,A-L00101,Certification Readiness Practice Assessment,62,False,2,2026-04-15,AssessmentPlatform
L00102,cert-enterprise-ai-safety,A-L00102,Certification Readiness Practice Assessment,100,True,1,2026-04-14,AssessmentPlatform
L00103,cert-enterprise-ai-safety,A-L00103,Certification Readiness Practice Assessment,62,False,3,2026-04-15,AssessmentPlatform
L00104,cert-enterprise-ai-safety,A-L00104,Certification Readiness Practice Assessment,67,False,1,2026-05-01,AssessmentPlatform
L00105,cert-enterprise-ai-safety,A-L00105,Certification Readiness Practice Assessment,77,False,3,2026-05-21,AssessmentPlatform
L00106,cert-enterprise-ai-safety,A-L00106,Certification Readiness Practice Assessment,74,False,1,2026-04-08,AssessmentPlatform
L00107,cert-enterprise-ai-safety,A-L00107,Certification Readiness Practice Assessment,83,True,3,2026-04-18,AssessmentPlatform
L00108,cert-enterprise-ai-safety,A-L00108,Certification Readiness Practice Assessment,90,True,1,2026-04-18,AssessmentPlatform
L00109,cert-enterprise-ai-safety,A-L00109,Certification Readiness Practice Assessment,100,True,3,2026-05-30,AssessmentPlatform
L00110,cert-enterprise-ai-safety,A-L00110,Certification Readiness Practice Assessment,84,True,2,2026-05-20,AssessmentPlatform
L00111,cert-enterprise-ai-safety,A-L00111,Certification Readiness Practice Assessment,64,False,1,2026-04-19,AssessmentPlatform
L00112,cert-enterprise-ai-safety,A-L00112,Certification Readiness Practice Assessment,79,False,1,2026-05-01,AssessmentPlatform
L00113,cert-enterprise-ai-safety,A-L00113,Certification Readiness Practice Assessment,93,True,2,2026-05-05,AssessmentPlatform
L00114,cert-enterprise-ai-safety,A-L00114,Certification Readiness Practice Assessment,68,False,2,2026-05-20,AssessmentPlatform
L00115,cert-enterprise-ai-safety,A-L00115,Certification Readiness Practice Assessment,81,True,1,2026-05-25,AssessmentPlatform
L00116,cert-enterprise-ai-safety,A-L00116,Certification Readiness Practice Assessment,77,False,1,2026-04-25,AssessmentPlatform
L00117,cert-enterprise-ai-safety,A-L00117,Certification Readiness Practice Assessment,65,False,1,2026-05-27,AssessmentPlatform
L00118,cert-enterprise-ai-safety,A-L00118,Certification Readiness Practice Assessment,75,False,2,2026-05-03,AssessmentPlatform
L00119,cert-enterprise-ai-safety,A-L00119,Certification Readiness Practice Assessment,71,False,3,2026-04-09,AssessmentPlatform
L00120,cert-enterprise-ai-safety,A-L00120,Certification Readiness Practice Assessment,82,True,3,2026-05-24,AssessmentPlatform
L00121,cert-enterprise-ai-safety,A-L00121,Certification Readiness Practice Assessment,64,False,1,2026-04-23,AssessmentPlatform
L00122,cert-enterprise-ai-safety,A-L00122,Certification Readiness Practice Assessment,81,True,2,2026-04-09,AssessmentPlatform
L00123,cert-enterprise-ai-safety,A-L00123,Certification Readiness Practice Assessment,84,True,2,2026-04-23,AssessmentPlatform
L00124,cert-enterprise-ai-safety,A-L00124,Certification Readiness Practice Assessment,71,False,2,2026-05-28,AssessmentPlatform
L00125,cert-enterprise-ai-safety,A-L00125,Certification Readiness Practice Assessment,94,True,2,2026-04-10,AssessmentPlatform
L00126,cert-enterprise-ai-safety,A-L00126,Certification Readiness Practice Assessment,91,True,2,2026-04-20,AssessmentPlatform
L00127,cert-enterprise-ai-safety,A-L00127,Certification Readiness Practice Assessment,97,True,1,2026-06-06,AssessmentPlatform
L00128,cert-enterprise-ai-safety,A-L00128,Certification Readiness Practice Assessment,88,True,3,2026-04-15,AssessmentPlatform
L00129,cert-enterprise-ai-safety,A-L00129,Certification Readiness Practice Assessment,86,True,1,2026-04-10,AssessmentPlatform
L00130,cert-enterprise-ai-safety,A-L00130,Certification Readiness Practice Assessment,91,True,1,2026-04-16,AssessmentPlatform
L00131,cert-enterprise-ai-safety,A-L00131,Certification Readiness Practice Assessment,61,False,1,2026-05-12,AssessmentPlatform
L00132,cert-enterprise-ai-safety,A-L00132,Certification Readiness Practice Assessment,57,False,1,2026-05-01,AssessmentPlatform
L00133,cert-enterprise-ai-safety,A-L00133,Certification Readiness Practice Assessment,83,True,1,2026-05-06,AssessmentPlatform
L00134,cert-enterprise-ai-safety,A-L00134,Certification Readiness Practice Assessment,63,False,2,2026-04-12,AssessmentPlatform
L00135,cert-enterprise-ai-safety,A-L00135,Certification Readiness Practice Assessment,61,False,3,2026-06-01,AssessmentPlatform
L00136,cert-enterprise-ai-safety,A-L00136,Certification Readiness Practice Assessment,94,True,3,2026-04-15,AssessmentPlatform
L00137,cert-enterprise-ai-safety,A-L00137,Certification Readiness Practice Assessment,66,False,1,2026-04-24,AssessmentPlatform
L00138,cert-enterprise-ai-safety,A-L00138,Certification Readiness Practice Assessment,57,False,2,2026-04-30,AssessmentPlatform
L00139,cert-enterprise-ai-safety,A-L00139,Certification Readiness Practice Assessment,95,True,2,2026-04-13,AssessmentPlatform
L00140,cert-enterprise-ai-safety,A-L00140,Certification Readiness Practice Assessment,68,False,3,2026-04-29,AssessmentPlatform
L00141,cert-enterprise-ai-safety,A-L00141,Certification Readiness Practice Assessment,92,True,2,2026-04-17,AssessmentPlatform
L00142,cert-enterprise-ai-safety,A-L00142,Certification Readiness Practice Assessment,91,True,1,2026-04-23,AssessmentPlatform
L00143,cert-enterprise-ai-safety,A-L00143,Certification Readiness Practice Assessment,63,False,3,2026-04-30,AssessmentPlatform
L00144,cert-enterprise-ai-safety,A-L00144,Certification Readiness Practice Assessment,95,True,3,2026-06-04,AssessmentPlatform
L00145,cert-enterprise-ai-safety,A-L00145,Certification Readiness Practice Assessment,100,True,2,2026-04-11,AssessmentPlatform
L00146,cert-enterprise-ai-safety,A-L00146,Certification Readiness Practice Assessment,88,True,3,2026-04-28,AssessmentPlatform
L00147,cert-enterprise-ai-safety,A-L00147,Certification Readiness Practice Assessment,60,False,3,2026-04-18,AssessmentPlatform
L00148,cert-enterprise-ai-safety,A-L00148,Certification Readiness Practice Assessment,81,True,3,2026-05-16,AssessmentPlatform
L00149,cert-enterprise-ai-safety,A-L00149,Certification Readiness Practice Assessment,99,True,3,2026-05-23,AssessmentPlatform
L00150,cert-enterprise-ai-safety,A-L00150,Certification Readiness Practice Assessment,70,False,2,2026-04-24,AssessmentPlatform
L00151,cert-enterprise-ai-safety,A-L00151,Certification Readiness Practice Assessment,60,False,2,2026-05-13,AssessmentPlatform
L00152,cert-enterprise-ai-safety,A-L00152,Certification Readiness Practice Assessment,93,True,1,2026-04-26,AssessmentPlatform
L00153,cert-enterprise-ai-safety,A-L00153,Certification Readiness Practice Assessment,73,False,2,2026-04-20,AssessmentPlatform
L00154,cert-enterprise-ai-safety,A-L00154,Certification Readiness Practice Assessment,70,False,1,2026-04-29,AssessmentPlatform
L00155,cert-enterprise-ai-safety,A-L00155,Certification Readiness Practice Assessment,61,False,1,2026-05-09,AssessmentPlatform
L00156,cert-enterprise-ai-safety,A-L00156,Certification Readiness Practice Assessment,79,False,1,2026-05-27,AssessmentPlatform
L00157,cert-enterprise-ai-safety,A-L00157,Certification Readiness Practice Assessment,100,True,3,2026-04-29,AssessmentPlatform
L00158,cert-enterprise-ai-safety,A-L00158,Certification Readiness Practice Assessment,94,True,3,2026-04-22,AssessmentPlatform
L00159,cert-enterprise-ai-safety,A-L00159,Certification Readiness Practice Assessment,57,False,2,2026-05-30,AssessmentPlatform
L00160,cert-enterprise-ai-safety,A-L00160,Certification Readiness Practice Assessment,56,False,2,2026-04-17,AssessmentPlatform
L00161,cert-enterprise-ai-safety,A-L00161,Certification Readiness Practice Assessment,82,True,2,2026-05-02,AssessmentPlatform
L00162,cert-enterprise-ai-safety,A-L00162,Certification Readiness Practice Assessment,82,True,1,2026-04-29,AssessmentPlatform
L00163,cert-enterprise-ai-safety,A-L00163,Certification Readiness Practice Assessment,62,False,3,2026-05-30,AssessmentPlatform
L00164,cert-enterprise-ai-safety,A-L00164,Certification Readiness Practice Assessment,93,True,1,2026-04-16,AssessmentPlatform
L00165,cert-enterprise-ai-safety,A-L00165,Certification Readiness Practice Assessment,57,False,2,2026-05-29,AssessmentPlatform
L00166,cert-enterprise-ai-safety,A-L00166,Certification Readiness Practice Assessment,62,False,2,2026-05-18,AssessmentPlatform
L00167,cert-enterprise-ai-safety,A-L00167,Certification Readiness Practice Assessment,95,True,3,2026-04-10,AssessmentPlatform
L00168,cert-enterprise-ai-safety,A-L00168,Certification Readiness Practice Assessment,99,True,2,2026-05-11,AssessmentPlatform
L00169,cert-enterprise-ai-safety,A-L00169,Certification Readiness Practice Assessment,97,True,1,2026-05-26,AssessmentPlatform
L00170,cert-enterprise-ai-safety,A-L00170,Certification Readiness Practice Assessment,65,False,3,2026-06-06,AssessmentPlatform
L00171,cert-enterprise-ai-safety,A-L00171,Certification Readiness Practice Assessment,65,False,3,2026-05-07,AssessmentPlatform
L00172,cert-enterprise-ai-safety,A-L00172,Certification Readiness Practice Assessment,56,False,1,2026-04-10,AssessmentPlatform
L00173,cert-enterprise-ai-safety,A-L00173,Certification Readiness Practice Assessment,100,True,2,2026-05-09,AssessmentPlatform
L00174,cert-enterprise-ai-safety,A-L00174,Certification Readiness Practice Assessment,68,False,1,2026-05-25,AssessmentPlatform
L00175,cert-enterprise-ai-safety,A-L00175,Certification Readiness Practice Assessment,79,False,3,2026-06-04,AssessmentPlatform
L00176,cert-enterprise-ai-safety,A-L00176,Certification Readiness Practice Assessment,74,False,1,2026-05-27,AssessmentPlatform
L00177,cert-enterprise-ai-safety,A-L00177,Certification Readiness Practice Assessment,78,False,3,2026-04-29,AssessmentPlatform
L00178,cert-enterprise-ai-safety,A-L00178,Certification Readiness Practice Assessment,73,False,1,2026-04-24,AssessmentPlatform
L00179,cert-enterprise-ai-safety,A-L00179,Certification Readiness Practice Assessment,68,False,2,2026-06-06,AssessmentPlatform
L00180,cert-enterprise-ai-safety,A-L00180,Certification Readiness Practice Assessment,56,False,2,2026-05-18,AssessmentPlatform
L00181,cert-enterprise-ai-safety,A-L00181,Certification Readiness Practice Assessment,85,True,3,2026-05-19,AssessmentPlatform
L00182,cert-enterprise-ai-safety,A-L00182,Certification Readiness Practice Assessment,75,False,2,2026-04-08,AssessmentPlatform
L00183,cert-enterprise-ai-safety,A-L00183,Certification Readiness Practice Assessment,95,True,1,2026-06-05,AssessmentPlatform
L00184,cert-enterprise-ai-safety,A-L00184,Certification Readiness Practice Assessment,71,False,2,2026-06-01,AssessmentPlatform
L00185,cert-enterprise-ai-safety,A-L00185,Certification Readiness Practice Assessment,79,False,3,2026-05-27,AssessmentPlatform
L00186,cert-enterprise-ai-safety,A-L00186,Certification Readiness Practice Assessment,97,True,2,2026-04-24,AssessmentPlatform
L00187,cert-enterprise-ai-safety,A-L00187,Certification Readiness Practice Assessment,73,False,1,2026-05-22,AssessmentPlatform
L00188,cert-enterprise-ai-safety,A-L00188,Certification Readiness Practice Assessment,56,False,3,2026-04-27,AssessmentPlatform
L00189,cert-enterprise-ai-safety,A-L00189,Certification Readiness Practice Assessment,68,False,1,2026-05-24,AssessmentPlatform
L00190,cert-enterprise-ai-safety,A-L00190,Certification Readiness Practice Assessment,78,False,2,2026-05-22,AssessmentPlatform
L00191,cert-enterprise-ai-safety,A-L00191,Certification Readiness Practice Assessment,83,True,1,2026-04-12,AssessmentPlatform
L00192,cert-enterprise-ai-safety,A-L00192,Certification Readiness Practice Assessment,97,True,3,2026-05-06,AssessmentPlatform
L00193,cert-enterprise-ai-safety,A-L00193,Certification Readiness Practice Assessment,77,False,3,2026-04-11,AssessmentPlatform
L00194,cert-enterprise-ai-safety,A-L00194,Certification Readiness Practice Assessment,75,False,2,2026-04-14,AssessmentPlatform
L00195,cert-enterprise-ai-safety,A-L00195,Certification Readiness Practice Assessment,69,False,2,2026-05-16,AssessmentPlatform
L00196,cert-enterprise-ai-safety,A-L00196,Certification Readiness Practice Assessment,93,True,2,2026-05-27,AssessmentPlatform
L00197,cert-enterprise-ai-safety,A-L00197,Certification Readiness Practice Assessment,83,True,3,2026-05-17,AssessmentPlatform
L00198,cert-enterprise-ai-safety,A-L00198,Certification Readiness Practice Assessment,71,False,3,2026-05-21,AssessmentPlatform
L00199,cert-enterprise-ai-safety,A-L00199,Certification Readiness Practice Assessment,64,False,3,2026-04-29,AssessmentPlatform
L00200,cert-enterprise-ai-safety,A-L00200,Certification Readiness Practice Assessment,65,False,3,2026-04-27,AssessmentPlatform
L00201,cert-enterprise-ai-safety,A-L00201,Certification Readiness Practice Assessment,63,False,3,2026-05-16,AssessmentPlatform
L00202,cert-enterprise-ai-safety,A-L00202,Certification Readiness Practice Assessment,69,False,3,2026-05-08,AssessmentPlatform
L00203,cert-enterprise-ai-safety,A-L00203,Certification Readiness Practice Assessment,55,False,2,2026-06-05,AssessmentPlatform
L00204,cert-enterprise-ai-safety,A-L00204,Certification Readiness Practice Assessment,68,False,3,2026-06-01,AssessmentPlatform
L00205,cert-enterprise-ai-safety,A-L00205,Certification Readiness Practice Assessment,72,False,1,2026-04-19,AssessmentPlatform
L00206,cert-enterprise-ai-safety,A-L00206,Certification Readiness Practice Assessment,78,False,1,2026-05-19,AssessmentPlatform
L00207,cert-enterprise-ai-safety,A-L00207,Certification Readiness Practice Assessment,82,True,2,2026-06-01,AssessmentPlatform
L00208,cert-enterprise-ai-safety,A-L00208,Certification Readiness Practice Assessment,99,True,3,2026-06-03,AssessmentPlatform
L00209,cert-enterprise-ai-safety,A-L00209,Certification Readiness Practice Assessment,67,False,1,2026-04-08,AssessmentPlatform
L00210,cert-enterprise-ai-safety,A-L00210,Certification Readiness Practice Assessment,58,False,2,2026-04-22,AssessmentPlatform
L00211,cert-enterprise-ai-safety,A-L00211,Certification Readiness Practice Assessment,76,False,3,2026-04-19,AssessmentPlatform
L00212,cert-enterprise-ai-safety,A-L00212,Certification Readiness Practice Assessment,93,True,1,2026-05-27,AssessmentPlatform
L00213,cert-enterprise-ai-safety,A-L00213,Certification Readiness Practice Assessment,77,False,2,2026-04-11,AssessmentPlatform
L00214,cert-enterprise-ai-safety,A-L00214,Certification Readiness Practice Assessment,85,True,1,2026-04-12,AssessmentPlatform
L00215,cert-enterprise-ai-safety,A-L00215,Certification Readiness Practice Assessment,94,True,3,2026-05-29,AssessmentPlatform
L00216,cert-enterprise-ai-safety,A-L00216,Certification Readiness Practice Assessment,64,False,3,2026-06-06,AssessmentPlatform
L00217,cert-enterprise-ai-safety,A-L00217,Certification Readiness Practice Assessment,90,True,3,2026-04-27,AssessmentPlatform
L00218,cert-enterprise-ai-safety,A-L00218,Certification Readiness Practice Assessment,55,False,2,2026-05-23,AssessmentPlatform
L00219,cert-enterprise-ai-safety,A-L00219,Certification Readiness Practice Assessment,94,True,3,2026-04-17,AssessmentPlatform
L00220,cert-enterprise-ai-safety,A-L00220,Certification Readiness Practice Assessment,71,False,1,2026-04-18,AssessmentPlatform
L00221,cert-enterprise-ai-safety,A-L00221,Certification Readiness Practice Assessment,82,True,3,2026-06-04,AssessmentPlatform
L00222,cert-enterprise-ai-safety,A-L00222,Certification Readiness Practice Assessment,98,True,1,2026-04-25,AssessmentPlatform
L00223,cert-enterprise-ai-safety,A-L00223,Certification Readiness Practice Assessment,97,True,2,2026-04-24,AssessmentPlatform
L00224,cert-enterprise-ai-safety,A-L00224,Certification Readiness Practice Assessment,70,False,3,2026-04-14,AssessmentPlatform
