learner_id,certification_id,lab_id,lab_name,completion_status,completed_on,source_system
L00032,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-21,LabPlatform
L00033,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-27,LabPlatform
L00033,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-22,LabPlatform
L00034,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-10,LabPlatform
L00034,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00035,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-03-27,LabPlatform
L00035,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-26,LabPlatform
L00036,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-24,LabPlatform
L00036,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-28,LabPlatform
L00037,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00037,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00038,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00038,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-31,LabPlatform
L00039,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00039,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-01,LabPlatform
L00040,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-14,LabPlatform
L00040,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00041,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00041,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-30,LabPlatform
L00042,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-01,LabPlatform
L00042,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-08,LabPlatform
L00043,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-19,LabPlatform
L00043,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00044,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-16,LabPlatform
L00044,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-13,LabPlatform
L00045,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L00045,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-18,LabPlatform
L00046,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-28,LabPlatform
L00046,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00047,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-15,LabPlatform
L00047,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00048,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-07,LabPlatform
L00048,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-19,LabPlatform
L00049,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L00049,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00050,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-15,LabPlatform
L00050,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00051,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-13,LabPlatform
L00051,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-24,LabPlatform
L00052,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-02,LabPlatform
L00052,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-20,LabPlatform
L00053,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-09,LabPlatform
L00053,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L00054,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-13,LabPlatform
L00054,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-16,LabPlatform
L00055,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-06,LabPlatform
L00055,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00056,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00056,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-29,LabPlatform
L00057,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-23,LabPlatform
L00057,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-23,LabPlatform
L00058,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-26,LabPlatform
L00058,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-18,LabPlatform
L00059,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-03-13,LabPlatform
L00059,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-28,LabPlatform
L00060,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-28,LabPlatform
L00060,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-18,LabPlatform
L00061,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-22,LabPlatform
L00061,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-22,LabPlatform
L00062,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-29,LabPlatform
L00062,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00063,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00063,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00064,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00064,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-15,LabPlatform
L00065,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00065,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00066,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00066,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-04,LabPlatform
L00067,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-07,LabPlatform
L00067,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-07,LabPlatform
L00068,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-28,LabPlatform
L00068,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-20,LabPlatform
L00069,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-08,LabPlatform
L00069,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00070,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-25,LabPlatform
L00070,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-31,LabPlatform
L00071,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-04-10,LabPlatform
L00071,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-02,LabPlatform
L00072,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-24,LabPlatform
L00072,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-24,LabPlatform
L00073,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-16,LabPlatform
L00073,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-19,LabPlatform
L00074,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-31,LabPlatform
L00074,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00075,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-12,LabPlatform
L00075,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00076,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-16,LabPlatform
L00076,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-14,LabPlatform
L00077,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00077,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-24,LabPlatform
L00078,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-07,LabPlatform
L00078,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-18,LabPlatform
L00079,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-27,LabPlatform
L00079,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00080,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-03,LabPlatform
L00080,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-23,LabPlatform
L00081,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-01,LabPlatform
L00081,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-24,LabPlatform
L00082,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00082,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00083,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-10,LabPlatform
L00083,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-20,LabPlatform
L00084,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00084,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-07,LabPlatform
L00085,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00085,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-18,LabPlatform
L00086,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-31,LabPlatform
L00086,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-20,LabPlatform
L00087,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-23,LabPlatform
L00087,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00088,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00088,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-20,LabPlatform
L00089,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-16,LabPlatform
L00089,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-22,LabPlatform
L00090,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-31,LabPlatform
L00090,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L00091,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-04,LabPlatform
L00091,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-17,LabPlatform
L00092,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-29,LabPlatform
L00092,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-17,LabPlatform
L00093,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00093,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-25,LabPlatform
L00094,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-28,LabPlatform
L00094,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-12,LabPlatform
L00095,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00095,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-27,LabPlatform
L00096,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L00096,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-09,LabPlatform
L00097,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L00097,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-04,LabPlatform
L00098,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-07,LabPlatform
L00098,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00099,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-06,LabPlatform
L00099,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-15,LabPlatform
L00100,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-13,LabPlatform
L00100,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-25,LabPlatform
L00101,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-31,LabPlatform
L00101,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-01,LabPlatform
L00102,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00102,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-06,LabPlatform
L00103,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L00103,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-26,LabPlatform
L00104,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00104,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00105,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-27,LabPlatform
L00105,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-24,LabPlatform
L00106,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-16,LabPlatform
L00106,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00107,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00107,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-05,LabPlatform
L00108,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-05-12,LabPlatform
L00108,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-27,LabPlatform
L00109,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-11,LabPlatform
L00109,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-03,LabPlatform
L00110,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00110,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00111,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-11,LabPlatform
L00111,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00112,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-01,LabPlatform
L00112,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-17,LabPlatform
L00113,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00113,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00114,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-05,LabPlatform
L00114,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00115,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-09,LabPlatform
L00115,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00116,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-22,LabPlatform
L00116,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00117,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-16,LabPlatform
L00117,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00118,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-29,LabPlatform
L00118,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-19,LabPlatform
L00119,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-15,LabPlatform
L00119,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-10,LabPlatform
L00120,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-27,LabPlatform
L00120,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-20,LabPlatform
L00121,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00121,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-11,LabPlatform
L00122,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00122,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00123,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-05-21,LabPlatform
L00123,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-04,LabPlatform
L00124,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-10,LabPlatform
L00124,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00125,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-27,LabPlatform
L00125,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-29,LabPlatform
L00126,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-31,LabPlatform
L00126,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00127,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00127,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-16,LabPlatform
L00128,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-22,LabPlatform
L00128,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-06,LabPlatform
L00129,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-18,LabPlatform
L00129,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-03,LabPlatform
L00130,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L00130,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-21,LabPlatform
L00131,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-03,LabPlatform
L00131,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-10,LabPlatform
L00132,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-10,LabPlatform
L00132,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-12,LabPlatform
L00133,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-17,LabPlatform
L00133,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-06,LabPlatform
L00134,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00134,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00135,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00135,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-29,LabPlatform
L00136,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-04-01,LabPlatform
L00136,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-02,LabPlatform
L00137,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-09,LabPlatform
L00137,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
