learner_id,certification_id,manager_id,approval_status,approved_on,source_system
L00035,cert-enterprise-ai-safety,M022,approved,2026-05-09,ManagerPortal
L00036,cert-enterprise-ai-safety,M077,approved,2026-04-29,ManagerPortal
L00037,cert-enterprise-ai-safety,M051,pending,,ManagerPortal
L00038,cert-enterprise-ai-safety,M055,approved,2026-05-29,ManagerPortal
L00039,cert-enterprise-ai-safety,M070,approved,2026-05-29,ManagerPortal
L00040,cert-enterprise-ai-safety,M043,approved,2026-05-30,ManagerPortal
L00041,cert-enterprise-ai-safety,M015,approved,2026-04-27,ManagerPortal
L00042,cert-enterprise-ai-safety,M034,approved,2026-04-26,ManagerPortal
L00043,cert-enterprise-ai-safety,M056,approved,2026-05-11,ManagerPortal
L00044,cert-enterprise-ai-safety,M024,approved,2026-05-02,ManagerPortal
L00045,cert-enterprise-ai-safety,M076,approved,2026-04-28,ManagerPortal
L00046,cert-enterprise-ai-safety,M068,pending,,ManagerPortal
L00047,cert-enterprise-ai-safety,M027,pending,,ManagerPortal
L00048,cert-enterprise-ai-safety,M074,pending,,ManagerPortal
L00049,cert-enterprise-ai-safety,M075,approved,2026-05-05,ManagerPortal
L00050,cert-enterprise-ai-safety,M007,approved,2026-05-10,ManagerPortal
L00051,cert-enterprise-ai-safety,M034,approved,2026-05-30,ManagerPortal
L00052,cert-enterprise-ai-safety,M062,pending,,ManagerPortal
L00053,cert-enterprise-ai-safety,M041,approved,2026-05-13,ManagerPortal
L00054,cert-enterprise-ai-safety,M060,approved,2026-04-27,ManagerPortal
L00055,cert-enterprise-ai-safety,M014,approved,2026-05-11,ManagerPortal
L00056,cert-enterprise-ai-safety,M017,approved,2026-05-09,ManagerPortal
L00057,cert-enterprise-ai-safety,M041,approved,2026-05-01,ManagerPortal
L00058,cert-enterprise-ai-safety,M066,approved,2026-05-22,ManagerPortal
L00059,cert-enterprise-ai-safety,M064,approved,2026-06-04,ManagerPortal
L00060,cert-enterprise-ai-safety,M035,pending,,ManagerPortal
L00061,cert-enterprise-ai-safety,M025,approved,2026-05-03,ManagerPortal
L00062,cert-enterprise-ai-safety,M005,approved,2026-05-26,ManagerPortal
L00063,cert-enterprise-ai-safety,M016,approved,2026-05-12,ManagerPortal
L00064,cert-enterprise-ai-safety,M068,pending,,ManagerPortal
L00065,cert-enterprise-ai-safety,M074,approved,2026-05-30,ManagerPortal
L00066,cert-enterprise-ai-safety,M047,pending,,ManagerPortal
L00067,cert-enterprise-ai-safety,M059,approved,2026-04-24,ManagerPortal
L00068,cert-enterprise-ai-safety,M080,pending,,ManagerPortal
L00069,cert-enterprise-ai-safety,M025,approved,2026-05-29,ManagerPortal
L00070,cert-enterprise-ai-safety,M026,approved,2026-06-05,ManagerPortal
L00071,cert-enterprise-ai-safety,M047,approved,2026-05-28,ManagerPortal
L00072,cert-enterprise-ai-safety,M069,pending,,ManagerPortal
L00073,cert-enterprise-ai-safety,M021,approved,2026-05-15,ManagerPortal
L00074,cert-enterprise-ai-safety,M007,approved,2026-04-25,ManagerPortal
L00075,cert-enterprise-ai-safety,M010,approved,2026-05-07,ManagerPortal
L00076,cert-enterprise-ai-safety,M046,approved,2026-05-30,ManagerPortal
L00077,cert-enterprise-ai-safety,M076,approved,2026-05-29,ManagerPortal
L00078,cert-enterprise-ai-safety,M071,approved,2026-05-23,ManagerPortal
L00079,cert-enterprise-ai-safety,M033,approved,2026-05-15,ManagerPortal
L00080,cert-enterprise-ai-safety,M074,approved,2026-05-20,ManagerPortal
L00081,cert-enterprise-ai-safety,M009,approved,2026-05-11,ManagerPortal
L00082,cert-enterprise-ai-safety,M010,approved,2026-05-15,ManagerPortal
L00083,cert-enterprise-ai-safety,M070,approved,2026-05-29,ManagerPortal
L00084,cert-enterprise-ai-safety,M005,approved,2026-04-23,ManagerPortal
L00085,cert-enterprise-ai-safety,M019,approved,2026-04-25,ManagerPortal
L00086,cert-enterprise-ai-safety,M011,pending,,ManagerPortal
L00087,cert-enterprise-ai-safety,M031,pending,,ManagerPortal
L00088,cert-enterprise-ai-safety,M011,approved,2026-04-26,ManagerPortal
L00089,cert-enterprise-ai-safety,M054,approved,2026-05-31,ManagerPortal
L00090,cert-enterprise-ai-safety,M022,approved,2026-05-23,ManagerPortal
L00091,cert-enterprise-ai-safety,M062,pending,,ManagerPortal
L00092,cert-enterprise-ai-safety,M027,approved,2026-04-29,ManagerPortal
L00093,cert-enterprise-ai-safety,M028,approved,2026-04-29,ManagerPortal
L00094,cert-enterprise-ai-safety,M079,approved,2026-05-24,ManagerPortal
L00095,cert-enterprise-ai-safety,M067,approved,2026-04-28,ManagerPortal
L00096,cert-enterprise-ai-safety,M039,approved,2026-06-01,ManagerPortal
L00097,cert-enterprise-ai-safety,M014,approved,2026-05-23,ManagerPortal
L00098,cert-enterprise-ai-safety,M032,pending,,ManagerPortal
L00099,cert-enterprise-ai-safety,M052,approved,2026-05-10,ManagerPortal
L00100,cert-enterprise-ai-safety,M006,approved,2026-05-23,ManagerPortal
L00101,cert-enterprise-ai-safety,M029,approved,2026-05-01,ManagerPortal
L00102,cert-enterprise-ai-safety,M064,approved,2026-05-25,ManagerPortal
L00103,cert-enterprise-ai-safety,M026,pending,,ManagerPortal
L00104,cert-enterprise-ai-safety,M077,approved,2026-04-23,ManagerPortal
L00105,cert-enterprise-ai-safety,M041,approved,2026-05-31,ManagerPortal
L00106,cert-enterprise-ai-safety,M032,pending,,ManagerPortal
L00107,cert-enterprise-ai-safety,M063,pending,,ManagerPortal
L00108,cert-enterprise-ai-safety,M052,approved,2026-05-01,ManagerPortal
L00109,cert-enterprise-ai-safety,M012,approved,2026-05-22,ManagerPortal
L00110,cert-enterprise-ai-safety,M035,pending,,ManagerPortal
L00111,cert-enterprise-ai-safety,M043,pending,,ManagerPortal
L00112,cert-enterprise-ai-safety,M075,approved,2026-05-17,ManagerPortal
L00113,cert-enterprise-ai-safety,M036,approved,2026-05-10,ManagerPortal
L00114,cert-enterprise-ai-safety,M041,pending,,ManagerPortal
L00115,cert-enterprise-ai-safety,M019,pending,,ManagerPortal
L00116,cert-enterprise-ai-safety,M080,pending,,ManagerPortal
L00117,cert-enterprise-ai-safety,M057,approved,2026-05-12,ManagerPortal
L00118,cert-enterprise-ai-safety,M024,pending,,ManagerPortal
L00119,cert-enterprise-ai-safety,M071,pending,,ManagerPortal
L00120,cert-enterprise-ai-safety,M036,approved,2026-05-30,ManagerPortal
L00121,cert-enterprise-ai-safety,M057,approved,2026-05-31,ManagerPortal
L00122,cert-enterprise-ai-safety,M065,pending,,ManagerPortal
L00123,cert-enterprise-ai-safety,M012,approved,2026-05-09,ManagerPortal
L00124,cert-enterprise-ai-safety,M056,approved,2026-05-23,ManagerPortal
L00125,cert-enterprise-ai-safety,M069,pending,,ManagerPortal
L00126,cert-enterprise-ai-safety,M027,approved,2026-06-05,ManagerPortal
L00127,cert-enterprise-ai-safety,M015,approved,2026-05-27,ManagerPortal
L00128,cert-enterprise-ai-safety,M017,approved,2026-04-30,ManagerPortal
L00129,cert-enterprise-ai-safety,M046,approved,2026-05-22,ManagerPortal
L00130,cert-enterprise-ai-safety,M065,approved,2026-05-22,ManagerPortal
L00131,cert-enterprise-ai-safety,M060,pending,,ManagerPortal
L00132,cert-enterprise-ai-safety,M051,approved,2026-05-04,ManagerPortal
L00133,cert-enterprise-ai-safety,M076,pending,,ManagerPortal
L00134,cert-enterprise-ai-safety,M028,approved,2026-05-21,ManagerPortal
L00135,cert-enterprise-ai-safety,M027,approved,2026-04-30,ManagerPortal
L00136,cert-enterprise-ai-safety,M064,approved,2026-05-02,ManagerPortal
L00137,cert-enterprise-ai-safety,M035,approved,2026-04-24,ManagerPortal
L00138,cert-enterprise-ai-safety,M075,approved,2026-05-12,ManagerPortal
L00139,cert-enterprise-ai-safety,M028,approved,2026-05-29,ManagerPortal
L00140,cert-enterprise-ai-safety,M031,pending,,ManagerPortal
L00141,cert-enterprise-ai-safety,M010,pending,,ManagerPortal
L00142,cert-enterprise-ai-safety,M064,approved,2026-05-11,ManagerPortal
L00143,cert-enterprise-ai-safety,M027,approved,2026-05-20,ManagerPortal
L00144,cert-enterprise-ai-safety,M077,pending,,ManagerPortal
L00145,cert-enterprise-ai-safety,M014,approved,2026-04-27,ManagerPortal
L00146,cert-enterprise-ai-safety,M041,approved,2026-04-29,ManagerPortal
L00147,cert-enterprise-ai-safety,M028,approved,2026-05-21,ManagerPortal
L00148,cert-enterprise-ai-safety,M038,approved,2026-05-01,ManagerPortal
L00149,cert-enterprise-ai-safety,M075,approved,2026-05-24,ManagerPortal
L00150,cert-enterprise-ai-safety,M008,approved,2026-05-16,ManagerPortal
L00151,cert-enterprise-ai-safety,M022,approved,2026-05-08,ManagerPortal
L00152,cert-enterprise-ai-safety,M020,approved,2026-05-12,ManagerPortal
L00153,cert-enterprise-ai-safety,M078,approved,2026-05-23,ManagerPortal
L00154,cert-enterprise-ai-safety,M063,approved,2026-05-22,ManagerPortal
L00155,cert-enterprise-ai-safety,M075,pending,,ManagerPortal
L00156,cert-enterprise-ai-safety,M014,pending,,ManagerPortal
L00157,cert-enterprise-ai-safety,M064,approved,2026-05-15,ManagerPortal
L00158,cert-enterprise-ai-safety,M001,pending,,ManagerPortal
L00159,cert-enterprise-ai-safety,M043,approved,2026-05-11,ManagerPortal
L00160,cert-enterprise-ai-safety,M025,pending,,ManagerPortal
L00161,cert-enterprise-ai-safety,M043,approved,2026-04-24,ManagerPortal
L00162,cert-enterprise-ai-safety,M010,approved,2026-06-02,ManagerPortal
L00163,cert-enterprise-ai-safety,M055,approved,2026-05-25,ManagerPortal
L00164,cert-enterprise-ai-safety,M070,approved,2026-05-22,ManagerPortal
L00165,cert-enterprise-ai-safety,M071,approved,2026-06-05,ManagerPortal
L00166,cert-enterprise-ai-safety,M069,approved,2026-04-29,ManagerPortal
L00167,cert-enterprise-ai-safety,M017,approved,2026-05-06,ManagerPortal
L00168,cert-enterprise-ai-safety,M044,approved,2026-05-03,ManagerPortal
L00169,cert-enterprise-ai-safety,M063,pending,,ManagerPortal
L00170,cert-enterprise-ai-safety,M041,approved,2026-06-04,ManagerPortal
L00171,cert-enterprise-ai-safety,M045,pending,,ManagerPortal
L00172,cert-enterprise-ai-safety,M057,approved,2026-05-25,ManagerPortal
L00173,cert-enterprise-ai-safety,M036,approved,2026-05-15,ManagerPortal
L00174,cert-enterprise-ai-safety,M046,approved,2026-06-05,ManagerPortal
L00175,cert-enterprise-ai-safety,M018,pending,,ManagerPortal
L00176,cert-enterprise-ai-safety,M039,approved,2026-05-05,ManagerPortal
L00177,cert-enterprise-ai-safety,M077,approved,2026-05-09,ManagerPortal
L00178,cert-enterprise-ai-safety,M019,approved,2026-05-22,ManagerPortal
L00179,cert-enterprise-ai-safety,M052,approved,2026-05-02,ManagerPortal
L00180,cert-enterprise-ai-safety,M048,pending,,ManagerPortal
L00181,cert-enterprise-ai-safety,M020,approved,2026-04-26,ManagerPortal
L00182,cert-enterprise-ai-safety,M076,approved,2026-05-19,ManagerPortal
L00183,cert-enterprise-ai-safety,M080,pending,,ManagerPortal
L00184,cert-enterprise-ai-safety,M061,approved,2026-06-01,ManagerPortal
L00185,cert-enterprise-ai-safety,M076,pending,,ManagerPortal
L00186,cert-enterprise-ai-safety,M055,pending,,ManagerPortal
L00187,cert-enterprise-ai-safety,M026,pending,,ManagerPortal
L00188,cert-enterprise-ai-safety,M071,approved,2026-05-20,ManagerPortal
L00189,cert-enterprise-ai-safety,M057,approved,2026-05-09,ManagerPortal
L00190,cert-enterprise-ai-safety,M074,approved,2026-05-24,ManagerPortal
L00191,cert-enterprise-ai-safety,M043,pending,,ManagerPortal
L00192,cert-enterprise-ai-safety,M019,approved,2026-05-19,ManagerPortal
L00193,cert-enterprise-ai-safety,M022,approved,2026-04-26,ManagerPortal
L00194,cert-enterprise-ai-safety,M012,pending,,ManagerPortal
L00195,cert-enterprise-ai-safety,M039,approved,2026-05-15,ManagerPortal
L00196,cert-enterprise-ai-safety,M017,approved,2026-05-24,ManagerPortal
L00197,cert-enterprise-ai-safety,M007,pending,,ManagerPortal
L00198,cert-enterprise-ai-safety,M020,approved,2026-05-23,ManagerPortal
L00199,cert-enterprise-ai-safety,M003,pending,,ManagerPortal
L00200,cert-enterprise-ai-safety,M015,approved,2026-05-27,ManagerPortal
L00201,cert-enterprise-ai-safety,M061,pending,,ManagerPortal
L00202,cert-enterprise-ai-safety,M013,approved,2026-05-28,ManagerPortal
L00203,cert-enterprise-ai-safety,M040,approved,2026-05-17,ManagerPortal
L00204,cert-enterprise-ai-safety,M005,approved,2026-04-24,ManagerPortal
L00205,cert-enterprise-ai-safety,M047,approved,2026-06-01,ManagerPortal
L00206,cert-enterprise-ai-safety,M014,approved,2026-05-22,ManagerPortal
L00207,cert-enterprise-ai-safety,M069,approved,2026-05-29,ManagerPortal
L00208,cert-enterprise-ai-safety,M047,approved,2026-05-25,ManagerPortal
L00209,cert-enterprise-ai-safety,M001,approved,2026-05-20,ManagerPortal
L00210,cert-enterprise-ai-safety,M054,approved,2026-05-24,ManagerPortal
L00211,cert-enterprise-ai-safety,M014,approved,2026-05-24,ManagerPortal
L00212,cert-enterprise-ai-safety,M055,approved,2026-05-28,ManagerPortal
L00213,cert-enterprise-ai-safety,M069,approved,2026-05-08,ManagerPortal
L00214,cert-enterprise-ai-safety,M017,approved,2026-04-29,ManagerPortal
L00215,cert-enterprise-ai-safety,M026,approved,2026-05-19,ManagerPortal
L00216,cert-enterprise-ai-safety,M066,approved,2026-05-28,ManagerPortal
L00217,cert-enterprise-ai-safety,M069,approved,2026-05-14,ManagerPortal
L00218,cert-enterprise-ai-safety,M025,approved,2026-05-20,ManagerPortal
L00219,cert-enterprise-ai-safety,M073,pending,,ManagerPortal
L00220,cert-enterprise-ai-safety,M030,approved,2026-05-20,ManagerPortal
L00221,cert-enterprise-ai-safety,M023,approved,2026-06-03,ManagerPortal
L00222,cert-enterprise-ai-safety,M076,approved,2026-04-29,ManagerPortal
L00223,cert-enterprise-ai-safety,M047,approved,2026-05-04,ManagerPortal
L00224,cert-enterprise-ai-safety,M062,approved,2026-05-01,ManagerPortal
L00225,cert-enterprise-ai-safety,M032,approved,2026-05-11,ManagerPortal
L00226,cert-enterprise-ai-safety,M048,approved,2026-06-04,ManagerPortal
L00227,cert-enterprise-ai-safety,M010,approved,2026-05-10,ManagerPortal
L00228,cert-enterprise-ai-safety,M057,approved,2026-06-05,ManagerPortal
L00229,cert-enterprise-ai-safety,M047,approved,2026-04-27,ManagerPortal
L00230,cert-enterprise-ai-safety,M066,approved,2026-04-24,ManagerPortal
L00231,cert-enterprise-ai-safety,M061,approved,2026-06-05,ManagerPortal
L00232,cert-enterprise-ai-safety,M050,pending,,ManagerPortal
L00233,cert-enterprise-ai-safety,M012,approved,2026-05-24,ManagerPortal
L00234,cert-enterprise-ai-safety,M004,approved,2026-04-25,ManagerPortal
L00235,cert-enterprise-ai-safety,M021,approved,2026-05-23,ManagerPortal
L00236,cert-enterprise-ai-safety,M024,approved,2026-05-09,ManagerPortal
L00237,cert-enterprise-ai-safety,M042,approved,2026-05-21,ManagerPortal
L00238,cert-enterprise-ai-safety,M025,approved,2026-05-12,ManagerPortal
L00239,cert-enterprise-ai-safety,M022,approved,2026-05-03,ManagerPortal
L00240,cert-enterprise-ai-safety,M073,approved,2026-05-25,ManagerPortal
L00241,cert-enterprise-ai-safety,M026,approved,2026-06-01,ManagerPortal
L00242,cert-enterprise-ai-safety,M029,pending,,ManagerPortal
L00243,cert-enterprise-ai-safety,M023,approved,2026-05-10,ManagerPortal
L00244,cert-enterprise-ai-safety,M008,approved,2026-05-31,ManagerPortal
L00245,cert-enterprise-ai-safety,M030,approved,2026-04-26,ManagerPortal
L00246,cert-enterprise-ai-safety,M006,approved,2026-05-10,ManagerPortal
L00247,cert-enterprise-ai-safety,M040,approved,2026-06-02,ManagerPortal
L00248,cert-enterprise-ai-safety,M049,approved,2026-05-19,ManagerPortal
L00249,cert-enterprise-ai-safety,M079,pending,,ManagerPortal
L00250,cert-enterprise-ai-safety,M007,approved,2026-05-03,ManagerPortal
L00251,cert-enterprise-ai-safety,M022,approved,2026-05-09,ManagerPortal
L00252,cert-enterprise-ai-safety,M023,approved,2026-04-24,ManagerPortal
L00253,cert-enterprise-ai-safety,M012,approved,2026-04-25,ManagerPortal
L00254,cert-enterprise-ai-safety,M012,approved,2026-05-20,ManagerPortal
L00255,cert-enterprise-ai-safety,M073,pending,,ManagerPortal
L00256,cert-enterprise-ai-safety,M022,approved,2026-05-21,ManagerPortal
L00257,cert-enterprise-ai-safety,M013,pending,,ManagerPortal
L00258,cert-enterprise-ai-safety,M050,approved,2026-05-13,ManagerPortal
L00259,cert-enterprise-ai-safety,M065,approved,2026-05-05,ManagerPortal
L00260,cert-enterprise-ai-safety,M071,approved,2026-05-17,ManagerPortal
L00261,cert-enterprise-ai-safety,M013,pending,,ManagerPortal
L00262,cert-enterprise-ai-safety,M041,approved,2026-06-03,ManagerPortal
L00263,cert-enterprise-ai-safety,M064,approved,2026-06-01,ManagerPortal
L00264,cert-enterprise-ai-safety,M036,approved,2026-06-05,ManagerPortal
L00265,cert-enterprise-ai-safety,M069,pending,,ManagerPortal
L00266,cert-enterprise-ai-safety,M066,approved,2026-05-09,ManagerPortal
L00267,cert-enterprise-ai-safety,M071,approved,2026-05-16,ManagerPortal
L00268,cert-enterprise-ai-safety,M051,pending,,ManagerPortal
L00269,cert-enterprise-ai-safety,M066,approved,2026-05-13,ManagerPortal
L00270,cert-enterprise-ai-safety,M067,pending,,ManagerPortal
L00271,cert-enterprise-ai-safety,M054,approved,2026-05-31,ManagerPortal
L00272,cert-enterprise-ai-safety,M071,pending,,ManagerPortal
L00273,cert-enterprise-ai-safety,M013,approved,2026-04-29,ManagerPortal
L00274,cert-enterprise-ai-safety,M043,pending,,ManagerPortal
L00275,cert-enterprise-ai-safety,M026,approved,2026-06-01,ManagerPortal
L00276,cert-enterprise-ai-safety,M066,pending,,ManagerPortal
L00277,cert-enterprise-ai-safety,M051,approved,2026-05-23,ManagerPortal
L00278,cert-enterprise-ai-safety,M021,pending,,ManagerPortal
L00279,cert-enterprise-ai-safety,M069,pending,,ManagerPortal
L00280,cert-enterprise-ai-safety,M070,approved,2026-05-22,ManagerPortal
L00281,cert-enterprise-ai-safety,M072,approved,2026-05-18,ManagerPortal
L00282,cert-enterprise-ai-safety,M079,pending,,ManagerPortal
L00283,cert-enterprise-ai-safety,M045,approved,2026-05-03,ManagerPortal
L00284,cert-enterprise-ai-safety,M056,approved,2026-05-17,ManagerPortal
L00285,cert-enterprise-ai-safety,M049,approved,2026-04-24,ManagerPortal
L00286,cert-enterprise-ai-safety,M061,approved,2026-05-18,ManagerPortal
L00287,cert-enterprise-ai-safety,M068,approved,2026-05-06,ManagerPortal
L00288,cert-enterprise-ai-safety,M068,approved,2026-04-27,ManagerPortal
L00289,cert-enterprise-ai-safety,M063,approved,2026-04-30,ManagerPortal
L00290,cert-enterprise-ai-safety,M014,approved,2026-05-05,ManagerPortal
L00291,cert-enterprise-ai-safety,M015,approved,2026-05-27,ManagerPortal
L00292,cert-enterprise-ai-safety,M005,approved,2026-05-11,ManagerPortal
L00293,cert-enterprise-ai-safety,M027,approved,2026-05-22,ManagerPortal
L00294,cert-enterprise-ai-safety,M060,approved,2026-05-01,ManagerPortal
L00295,cert-enterprise-ai-safety,M048,approved,2026-05-27,ManagerPortal
L00296,cert-enterprise-ai-safety,M026,approved,2026-05-10,ManagerPortal
L00297,cert-enterprise-ai-safety,M061,pending,,ManagerPortal
L00298,cert-enterprise-ai-safety,M066,approved,2026-05-08,ManagerPortal
L00299,cert-enterprise-ai-safety,M073,pending,,ManagerPortal
L00300,cert-enterprise-ai-safety,M029,pending,,ManagerPortal
L00301,cert-enterprise-ai-safety,M036,approved,2026-05-29,ManagerPortal
L00302,cert-enterprise-ai-safety,M005,approved,2026-05-21,ManagerPortal
L00303,cert-enterprise-ai-safety,M069,approved,2026-04-24,ManagerPortal
L00304,cert-enterprise-ai-safety,M044,approved,2026-05-25,ManagerPortal
L00305,cert-enterprise-ai-safety,M065,approved,2026-04-28,ManagerPortal
L00306,cert-enterprise-ai-safety,M076,approved,2026-05-27,ManagerPortal
L00307,cert-enterprise-ai-safety,M028,pending,,ManagerPortal
L00308,cert-enterprise-ai-safety,M061,approved,2026-05-18,ManagerPortal
L00309,cert-enterprise-ai-safety,M016,approved,2026-05-22,ManagerPortal
L00310,cert-enterprise-ai-safety,M035,approved,2026-05-28,ManagerPortal
L00311,cert-enterprise-ai-safety,M049,approved,2026-06-03,ManagerPortal
L00312,cert-enterprise-ai-safety,M032,approved,2026-05-30,ManagerPortal
L00313,cert-enterprise-ai-safety,M064,approved,2026-04-30,ManagerPortal
L00314,cert-enterprise-ai-safety,M013,pending,,ManagerPortal
L00315,cert-enterprise-ai-safety,M009,approved,2026-05-13,ManagerPortal
L00316,cert-enterprise-ai-safety,M025,approved,2026-06-05,ManagerPortal
L00317,cert-enterprise-ai-safety,M050,approved,2026-05-02,ManagerPortal
L00318,cert-enterprise-ai-safety,M056,pending,,ManagerPortal
L00319,cert-enterprise-ai-safety,M001,approved,2026-05-10,ManagerPortal
L00320,cert-enterprise-ai-safety,M063,pending,,ManagerPortal
L00321,cert-enterprise-ai-safety,M043,approved,2026-05-22,ManagerPortal
L00322,cert-enterprise-ai-safety,M010,approved,2026-05-15,ManagerPortal
L00323,cert-enterprise-ai-safety,M028,approved,2026-06-04,ManagerPortal
L00324,cert-enterprise-ai-safety,M063,approved,2026-04-28,ManagerPortal
L00325,cert-enterprise-ai-safety,M070,pending,,ManagerPortal
L00326,cert-enterprise-ai-safety,M023,approved,2026-05-31,ManagerPortal
L00327,cert-enterprise-ai-safety,M048,pending,,ManagerPortal
L00328,cert-enterprise-ai-safety,M038,pending,,ManagerPortal
L00329,cert-enterprise-ai-safety,M057,approved,2026-05-12,ManagerPortal
L00330,cert-enterprise-ai-safety,M011,pending,,ManagerPortal
L00331,cert-enterprise-ai-safety,M009,approved,2026-05-21,ManagerPortal
L00332,cert-enterprise-ai-safety,M051,approved,2026-05-13,ManagerPortal
L00333,cert-enterprise-ai-safety,M071,approved,2026-05-18,ManagerPortal
L00334,cert-enterprise-ai-safety,M080,approved,2026-04-25,ManagerPortal
L00335,cert-enterprise-ai-safety,M080,approved,2026-06-05,ManagerPortal
L00336,cert-enterprise-ai-safety,M056,approved,2026-05-24,ManagerPortal
L00337,cert-enterprise-ai-safety,M021,approved,2026-05-29,ManagerPortal
L00338,cert-enterprise-ai-safety,M018,pending,,ManagerPortal
L00339,cert-enterprise-ai-safety,M047,approved,2026-05-14,ManagerPortal
L00340,cert-enterprise-ai-safety,M050,pending,,ManagerPortal
L00341,cert-enterprise-ai-safety,M076,approved,2026-05-22,ManagerPortal
L00342,cert-enterprise-ai-safety,M004,pending,,ManagerPortal
L00343,cert-enterprise-ai-safety,M033,approved,2026-06-01,ManagerPortal
L00344,cert-enterprise-ai-safety,M068,approved,2026-05-11,ManagerPortal
L00345,cert-enterprise-ai-safety,M080,approved,2026-05-08,ManagerPortal
L00346,cert-enterprise-ai-safety,M002,pending,,ManagerPortal
L00347,cert-enterprise-ai-safety,M079,approved,2026-05-16,ManagerPortal
L00348,cert-enterprise-ai-safety,M064,approved,2026-04-26,ManagerPortal
L00349,cert-enterprise-ai-safety,M080,pending,,ManagerPortal
L00350,cert-enterprise-ai-safety,M024,pending,,ManagerPortal
L00351,cert-enterprise-ai-safety,M003,approved,2026-05-01,ManagerPortal
L00352,cert-enterprise-ai-safety,M068,approved,2026-05-07,ManagerPortal
L00353,cert-enterprise-ai-safety,M005,approved,2026-05-13,ManagerPortal
L00354,cert-enterprise-ai-safety,M037,approved,2026-05-29,ManagerPortal
L00355,cert-enterprise-ai-safety,M010,pending,,ManagerPortal
L00356,cert-enterprise-ai-safety,M049,pending,,ManagerPortal
L00357,cert-enterprise-ai-safety,M054,pending,,ManagerPortal
L00358,cert-enterprise-ai-safety,M045,approved,2026-05-23,ManagerPortal
L00359,cert-enterprise-ai-safety,M004,approved,2026-05-22,ManagerPortal
L00360,cert-enterprise-ai-safety,M038,pending,,ManagerPortal
L00361,cert-enterprise-ai-safety,M052,pending,,ManagerPortal
L00362,cert-enterprise-ai-safety,M076,pending,,ManagerPortal
L00363,cert-enterprise-ai-safety,M024,approved,2026-04-28,ManagerPortal
L00364,cert-enterprise-ai-safety,M013,pending,,ManagerPortal
L00365,cert-enterprise-ai-safety,M018,approved,2026-05-20,ManagerPortal
L00366,cert-enterprise-ai-safety,M079,approved,2026-05-10,ManagerPortal
L00367,cert-enterprise-ai-safety,M030,pending,,ManagerPortal
L00368,cert-enterprise-ai-safety,M036,approved,2026-05-13,ManagerPortal
L00369,cert-enterprise-ai-safety,M020,approved,2026-05-20,ManagerPortal
L00370,cert-enterprise-ai-safety,M021,approved,2026-05-20,ManagerPortal
L00371,cert-enterprise-ai-safety,M012,approved,2026-05-03,ManagerPortal
L00372,cert-enterprise-ai-safety,M065,approved,2026-05-13,ManagerPortal
