completion_id,learner_id,lab_id,completed,completed_at
LC-046-1,L046,LAB-AGENT,1,2026-05-21
LC-046-2,L046,LAB-SAFETY,1,2026-05-20
LC-047-1,L047,LAB-AGENT,1,2026-05-21
LC-047-2,L047,LAB-SAFETY,1,2026-05-20
LC-048-1,L048,LAB-AGENT,1,2026-05-21
LC-048-2,L048,LAB-SAFETY,1,2026-05-20
LC-049-1,L049,LAB-AGENT,1,2026-05-21
LC-049-2,L049,LAB-SAFETY,1,2026-05-20
LC-050-1,L050,LAB-AGENT,1,2026-05-21
LC-050-2,L050,LAB-SAFETY,1,2026-05-20
LC-051-1,L051,LAB-AGENT,1,2026-05-21
LC-051-2,L051,LAB-SAFETY,1,2026-05-20
LC-052-1,L052,LAB-AGENT,1,2026-05-21
LC-052-2,L052,LAB-SAFETY,1,2026-05-20
LC-053-1,L053,LAB-AGENT,1,2026-05-21
LC-053-2,L053,LAB-SAFETY,1,2026-05-20
LC-054-1,L054,LAB-AGENT,1,2026-05-21
LC-054-2,L054,LAB-SAFETY,1,2026-05-20
LC-055-1,L055,LAB-AGENT,1,2026-05-21
LC-055-2,L055,LAB-SAFETY,1,2026-05-20
LC-056-1,L056,LAB-AGENT,1,2026-05-21
LC-056-2,L056,LAB-SAFETY,1,2026-05-20
LC-057-1,L057,LAB-AGENT,1,2026-05-21
LC-057-2,L057,LAB-SAFETY,1,2026-05-20
LC-058-1,L058,LAB-AGENT,1,2026-05-21
LC-058-2,L058,LAB-SAFETY,1,2026-05-20
LC-059-1,L059,LAB-AGENT,1,2026-05-21
LC-059-2,L059,LAB-SAFETY,1,2026-05-20
LC-060-1,L060,LAB-AGENT,1,2026-05-21
LC-060-2,L060,LAB-SAFETY,1,2026-05-20
LC-061-1,L061,LAB-AGENT,1,2026-05-21
LC-061-2,L061,LAB-SAFETY,1,2026-05-20
LC-062-1,L062,LAB-AGENT,1,2026-05-21
LC-062-2,L062,LAB-SAFETY,1,2026-05-20
LC-063-1,L063,LAB-AGENT,1,2026-05-21
LC-063-2,L063,LAB-SAFETY,1,2026-05-20
LC-064-1,L064,LAB-AGENT,1,2026-05-21
LC-064-2,L064,LAB-SAFETY,1,2026-05-20
LC-065-1,L065,LAB-AGENT,1,2026-05-21
LC-065-2,L065,LAB-SAFETY,1,2026-05-20
LC-066-1,L066,LAB-AGENT,1,2026-05-21
LC-066-2,L066,LAB-SAFETY,1,2026-05-20
LC-067-1,L067,LAB-AGENT,1,2026-05-21
LC-067-2,L067,LAB-SAFETY,1,2026-05-20
LC-068-1,L068,LAB-AGENT,1,2026-05-21
LC-068-2,L068,LAB-SAFETY,1,2026-05-20
LC-069-1,L069,LAB-AGENT,1,2026-05-21
LC-069-2,L069,LAB-SAFETY,1,2026-05-20
LC-070-1,L070,LAB-AGENT,1,2026-05-21
LC-070-2,L070,LAB-SAFETY,1,2026-05-20
LC-071-1,L071,LAB-AGENT,1,2026-05-21
LC-071-2,L071,LAB-SAFETY,1,2026-05-20
LC-072-1,L072,LAB-AGENT,1,2026-05-21
LC-072-2,L072,LAB-SAFETY,1,2026-05-20
LC-073-1,L073,LAB-AGENT,1,2026-05-21
LC-073-2,L073,LAB-SAFETY,1,2026-05-20
LC-074-1,L074,LAB-AGENT,1,2026-05-21
LC-074-2,L074,LAB-SAFETY,1,2026-05-20
LC-075-1,L075,LAB-AGENT,1,2026-05-21
LC-075-2,L075,LAB-SAFETY,1,2026-05-20
LC-076-1,L076,LAB-AGENT,1,2026-05-21
LC-076-2,L076,LAB-SAFETY,1,2026-05-20
LC-077-1,L077,LAB-AGENT,1,2026-05-21
LC-077-2,L077,LAB-SAFETY,1,2026-05-20
LC-078-1,L078,LAB-AGENT,1,2026-05-21
LC-078-2,L078,LAB-SAFETY,1,2026-05-20
LC-079-1,L079,LAB-AGENT,1,2026-05-21
LC-079-2,L079,LAB-SAFETY,1,2026-05-20
LC-080-1,L080,LAB-AGENT,1,2026-05-21
LC-080-2,L080,LAB-SAFETY,1,2026-05-20
LC-081-1,L081,LAB-AGENT,1,2026-05-21
LC-081-2,L081,LAB-SAFETY,1,2026-05-20
LC-082-1,L082,LAB-AGENT,1,2026-05-21
LC-082-2,L082,LAB-SAFETY,1,2026-05-20
LC-083-1,L083,LAB-AGENT,1,2026-05-21
LC-083-2,L083,LAB-SAFETY,1,2026-05-20
LC-084-1,L084,LAB-AGENT,1,2026-05-21
LC-084-2,L084,LAB-SAFETY,1,2026-05-20
LC-085-1,L085,LAB-AGENT,1,2026-05-21
LC-085-2,L085,LAB-SAFETY,1,2026-05-20
LC-086-1,L086,LAB-AGENT,1,2026-05-21
LC-086-2,L086,LAB-SAFETY,1,2026-05-20
LC-087-1,L087,LAB-AGENT,1,2026-05-21
LC-087-2,L087,LAB-SAFETY,1,2026-05-20
LC-088-1,L088,LAB-AGENT,1,2026-05-21
LC-088-2,L088,LAB-SAFETY,1,2026-05-20
LC-089-1,L089,LAB-AGENT,1,2026-05-21
LC-089-2,L089,LAB-SAFETY,1,2026-05-20
LC-090-1,L090,LAB-AGENT,1,2026-05-21
LC-090-2,L090,LAB-SAFETY,1,2026-05-20
LC-091-1,L091,LAB-AGENT,1,2026-05-21
LC-091-2,L091,LAB-SAFETY,1,2026-05-20
LC-092-1,L092,LAB-AGENT,1,2026-05-21
LC-092-2,L092,LAB-SAFETY,1,2026-05-20
LC-093-1,L093,LAB-AGENT,1,2026-05-21
LC-093-2,L093,LAB-SAFETY,1,2026-05-20
LC-094-1,L094,LAB-AGENT,1,2026-05-21
LC-094-2,L094,LAB-SAFETY,1,2026-05-20
LC-095-1,L095,LAB-AGENT,1,2026-05-21
LC-095-2,L095,LAB-SAFETY,1,2026-05-20
LC-096-1,L096,LAB-AGENT,1,2026-05-21
LC-096-2,L096,LAB-SAFETY,1,2026-05-20
LC-097-1,L097,LAB-AGENT,1,2026-05-21
LC-098-1,L098,LAB-AGENT,1,2026-05-21
LC-099-1,L099,LAB-AGENT,1,2026-05-21
LC-100-1,L100,LAB-AGENT,1,2026-05-21
LC-101-1,L101,LAB-AGENT,1,2026-05-21
LC-102-1,L102,LAB-AGENT,1,2026-05-21
LC-103-1,L103,LAB-AGENT,1,2026-05-21
LC-104-1,L104,LAB-AGENT,1,2026-05-21
LC-105-1,L105,LAB-AGENT,1,2026-05-21
LC-106-1,L106,LAB-AGENT,1,2026-05-21
LC-107-1,L107,LAB-AGENT,1,2026-05-21
LC-108-1,L108,LAB-AGENT,1,2026-05-21
LC-109-1,L109,LAB-AGENT,1,2026-05-21
LC-110-1,L110,LAB-AGENT,1,2026-05-21
LC-111-1,L111,LAB-AGENT,1,2026-05-21
LC-112-1,L112,LAB-AGENT,1,2026-05-21
LC-113-1,L113,LAB-AGENT,1,2026-05-21
LC-114-1,L114,LAB-AGENT,1,2026-05-21
LC-115-1,L115,LAB-AGENT,1,2026-05-21
LC-116-1,L116,LAB-AGENT,1,2026-05-21
LC-117-1,L117,LAB-AGENT,1,2026-05-21
LC-118-1,L118,LAB-AGENT,1,2026-05-21
LC-119-1,L119,LAB-AGENT,1,2026-05-21
LC-120-1,L120,LAB-AGENT,1,2026-05-21
