churn_event_id,customer_id,finance_churn_date,cs_churn_date,reason
CHN0327,C0327,,2026-04-30,synthetic cohort divergence
CHN0330,C0330,2026-04-22,2026-04-27,synthetic cohort divergence
CHN0333,C0333,,2026-04-24,synthetic cohort divergence
CHN0336,C0336,2026-04-16,2026-04-21,synthetic cohort divergence
CHN0339,C0339,,2026-04-18,synthetic cohort divergence
CHN0342,C0342,2026-04-10,2026-04-15,synthetic cohort divergence
CHN0345,C0345,,2026-04-12,synthetic cohort divergence
CHN0348,C0348,2026-04-04,2026-04-09,synthetic cohort divergence
CHN0351,C0351,,2026-04-06,synthetic cohort divergence
CHN0354,C0354,2026-03-29,2026-04-03,synthetic cohort divergence
CHN0357,C0357,,2026-03-31,synthetic cohort divergence
CHN0360,C0360,2026-03-23,2026-03-28,synthetic cohort divergence
CHN0363,C0363,,2026-03-25,synthetic cohort divergence
CHN0366,C0366,2026-03-17,2026-03-22,synthetic cohort divergence
CHN0369,C0369,,2026-03-19,synthetic cohort divergence
CHN0372,C0372,2026-03-11,2026-03-16,synthetic cohort divergence
CHN0375,C0375,,2026-03-13,synthetic cohort divergence
CHN0378,C0378,2026-05-19,2026-03-10,synthetic cohort divergence
CHN0381,C0381,,2026-03-07,synthetic cohort divergence
CHN0384,C0384,2026-05-13,2026-03-04,synthetic cohort divergence
CHN0387,C0387,,2026-03-01,synthetic cohort divergence
CHN0390,C0390,2026-05-07,2026-02-26,synthetic cohort divergence
CHN0393,C0393,,2026-02-23,synthetic cohort divergence
CHN0396,C0396,2026-05-01,2026-02-20,synthetic cohort divergence
CHN0399,C0399,,2026-02-17,synthetic cohort divergence
CHN0402,C0402,2026-04-25,2026-05-25,synthetic cohort divergence
CHN0405,C0405,,2026-05-22,synthetic cohort divergence
CHN0408,C0408,2026-04-19,2026-05-19,synthetic cohort divergence
CHN0411,C0411,,2026-05-16,synthetic cohort divergence
CHN0414,C0414,2026-04-13,2026-05-13,synthetic cohort divergence
CHN0417,C0417,,2026-05-10,synthetic cohort divergence
CHN0420,C0420,2026-04-07,2026-05-07,synthetic cohort divergence
CHN0423,C0423,,2026-05-04,synthetic cohort divergence
CHN0426,C0426,2026-04-01,2026-05-01,synthetic cohort divergence
CHN0429,C0429,,2026-04-28,synthetic cohort divergence
CHN0432,C0432,2026-03-26,2026-04-25,synthetic cohort divergence
CHN0435,C0435,,2026-04-22,synthetic cohort divergence
CHN0438,C0438,2026-03-20,2026-04-19,synthetic cohort divergence
CHN0441,C0441,,2026-04-16,synthetic cohort divergence
CHN0444,C0444,2026-03-14,2026-04-13,synthetic cohort divergence
CHN0447,C0447,,2026-04-10,synthetic cohort divergence
CHN0450,C0450,2026-05-22,2026-04-07,synthetic cohort divergence
CHN0453,C0453,,2026-04-04,synthetic cohort divergence
CHN0456,C0456,2026-05-16,2026-04-01,synthetic cohort divergence
CHN0459,C0459,,2026-03-29,synthetic cohort divergence
CHN0462,C0462,2026-05-10,2026-03-26,synthetic cohort divergence
CHN0465,C0465,,2026-03-23,synthetic cohort divergence
CHN0468,C0468,2026-05-04,2026-03-20,synthetic cohort divergence
CHN0471,C0471,,2026-03-17,synthetic cohort divergence
CHN0474,C0474,2026-04-28,2026-03-14,synthetic cohort divergence
CHN0477,C0477,,2026-03-11,synthetic cohort divergence
CHN0480,C0480,2026-04-22,2026-03-08,synthetic cohort divergence
CHN0483,C0483,,2026-03-05,synthetic cohort divergence
CHN0486,C0486,2026-04-16,2026-03-02,synthetic cohort divergence
CHN0489,C0489,,2026-02-27,synthetic cohort divergence
CHN0492,C0492,2026-04-10,2026-02-24,synthetic cohort divergence
CHN0495,C0495,,2026-02-21,synthetic cohort divergence
CHN0498,C0498,2026-04-04,2026-02-18,synthetic cohort divergence
CHN0501,C0501,,2026-05-26,synthetic cohort divergence
CHN0504,C0504,2026-03-29,2026-05-23,synthetic cohort divergence
CHN0507,C0507,,2026-05-20,synthetic cohort divergence
CHN0510,C0510,2026-03-23,2026-05-17,synthetic cohort divergence
CHN0513,C0513,,2026-05-14,synthetic cohort divergence
CHN0516,C0516,2026-03-17,2026-05-11,synthetic cohort divergence
CHN0519,C0519,,2026-05-08,synthetic cohort divergence
CHN0522,C0522,2026-03-11,2026-05-05,synthetic cohort divergence
CHN0525,C0525,,2026-05-02,synthetic cohort divergence
CHN0528,C0528,2026-05-19,2026-04-29,synthetic cohort divergence
CHN0531,C0531,,2026-04-26,synthetic cohort divergence
CHN0534,C0534,2026-05-13,2026-04-23,synthetic cohort divergence
CHN0537,C0537,,2026-04-20,synthetic cohort divergence
CHN0540,C0540,2026-05-07,2026-04-17,synthetic cohort divergence
CHN0543,C0543,,2026-04-14,synthetic cohort divergence
CHN0546,C0546,2026-05-01,2026-04-11,synthetic cohort divergence
CHN0549,C0549,,2026-04-08,synthetic cohort divergence
CHN0552,C0552,2026-04-25,2026-04-05,synthetic cohort divergence
CHN0555,C0555,,2026-04-02,synthetic cohort divergence
CHN0558,C0558,2026-04-19,2026-03-30,synthetic cohort divergence
CHN0561,C0561,,2026-03-27,synthetic cohort divergence
CHN0564,C0564,2026-04-13,2026-03-24,synthetic cohort divergence
CHN0567,C0567,,2026-03-21,synthetic cohort divergence
CHN0570,C0570,2026-04-07,2026-03-18,synthetic cohort divergence
CHN0573,C0573,,2026-03-15,synthetic cohort divergence
CHN0576,C0576,2026-04-01,2026-03-12,synthetic cohort divergence
CHN0579,C0579,,2026-03-09,synthetic cohort divergence
CHN0582,C0582,2026-03-26,2026-03-06,synthetic cohort divergence
CHN0585,C0585,,2026-03-03,synthetic cohort divergence
CHN0588,C0588,2026-03-20,2026-02-28,synthetic cohort divergence
CHN0591,C0591,,2026-02-25,synthetic cohort divergence
CHN0594,C0594,2026-03-14,2026-02-22,synthetic cohort divergence
CHN0597,C0597,,2026-02-19,synthetic cohort divergence
CHN0600,C0600,2026-05-22,2026-05-27,synthetic cohort divergence
CHN0603,C0603,,2026-05-24,synthetic cohort divergence
CHN0606,C0606,2026-05-16,2026-05-21,synthetic cohort divergence
CHN0609,C0609,,2026-05-18,synthetic cohort divergence
CHN0612,C0612,2026-05-10,2026-05-15,synthetic cohort divergence
CHN0615,C0615,,2026-05-12,synthetic cohort divergence
CHN0618,C0618,2026-05-04,2026-05-09,synthetic cohort divergence
CHN0621,C0621,,2026-05-06,synthetic cohort divergence
CHN0624,C0624,2026-04-28,2026-05-03,synthetic cohort divergence
CHN0627,C0627,,2026-04-30,synthetic cohort divergence
CHN0630,C0630,2026-04-22,2026-04-27,synthetic cohort divergence
CHN0633,C0633,,2026-04-24,synthetic cohort divergence
CHN0636,C0636,2026-04-16,2026-04-21,synthetic cohort divergence
CHN0639,C0639,,2026-04-18,synthetic cohort divergence
CHN0642,C0642,2026-04-10,2026-04-15,synthetic cohort divergence
CHN0645,C0645,,2026-04-12,synthetic cohort divergence
CHN0648,C0648,2026-04-04,2026-04-09,synthetic cohort divergence
CHN0651,C0651,,2026-04-06,synthetic cohort divergence
CHN0654,C0654,2026-03-29,2026-04-03,synthetic cohort divergence
CHN0657,C0657,,2026-03-31,synthetic cohort divergence
CHN0660,C0660,2026-03-23,2026-03-28,synthetic cohort divergence
CHN0663,C0663,,2026-03-25,synthetic cohort divergence
CHN0666,C0666,2026-03-17,2026-03-22,synthetic cohort divergence
CHN0669,C0669,,2026-03-19,synthetic cohort divergence
CHN0672,C0672,2026-03-11,2026-03-16,synthetic cohort divergence
CHN0675,C0675,,2026-03-13,synthetic cohort divergence
CHN0678,C0678,2026-05-19,2026-03-10,synthetic cohort divergence
CHN0681,C0681,,2026-03-07,synthetic cohort divergence
CHN0684,C0684,2026-05-13,2026-03-04,synthetic cohort divergence
CHN0687,C0687,,2026-03-01,synthetic cohort divergence
CHN0690,C0690,2026-05-07,2026-02-26,synthetic cohort divergence
CHN0693,C0693,,2026-02-23,synthetic cohort divergence
CHN0696,C0696,2026-05-01,2026-02-20,synthetic cohort divergence
CHN0699,C0699,,2026-02-17,synthetic cohort divergence
CHN0702,C0702,2026-04-25,2026-05-25,synthetic cohort divergence
CHN0705,C0705,,2026-05-22,synthetic cohort divergence
CHN0708,C0708,2026-04-19,2026-05-19,synthetic cohort divergence
CHN0711,C0711,,2026-05-16,synthetic cohort divergence
CHN0714,C0714,2026-04-13,2026-05-13,synthetic cohort divergence
CHN0717,C0717,,2026-05-10,synthetic cohort divergence
CHN0720,C0720,2026-04-07,2026-05-07,synthetic cohort divergence
CHN0723,C0723,,2026-05-04,synthetic cohort divergence
CHN0726,C0726,2026-04-01,2026-05-01,synthetic cohort divergence
CHN0729,C0729,,2026-04-28,synthetic cohort divergence
CHN0732,C0732,2026-03-26,2026-04-25,synthetic cohort divergence
CHN0735,C0735,,2026-04-22,synthetic cohort divergence
CHN0738,C0738,2026-03-20,2026-04-19,synthetic cohort divergence
CHN0741,C0741,,2026-04-16,synthetic cohort divergence
CHN0744,C0744,2026-03-14,2026-04-13,synthetic cohort divergence
CHN0747,C0747,,2026-04-10,synthetic cohort divergence
CHN0750,C0750,2026-05-22,2026-04-07,synthetic cohort divergence
CHN0753,C0753,,2026-04-04,synthetic cohort divergence
CHN0756,C0756,2026-05-16,2026-04-01,synthetic cohort divergence
CHN0759,C0759,,2026-03-29,synthetic cohort divergence
CHN0762,C0762,2026-05-10,2026-03-26,synthetic cohort divergence
CHN0765,C0765,,2026-03-23,synthetic cohort divergence
CHN0768,C0768,2026-05-04,2026-03-20,synthetic cohort divergence
CHN0771,C0771,,2026-03-17,synthetic cohort divergence
CHN0774,C0774,2026-04-28,2026-03-14,synthetic cohort divergence
CHN0777,C0777,,2026-03-11,synthetic cohort divergence
CHN0780,C0780,2026-04-22,2026-03-08,synthetic cohort divergence
CHN0783,C0783,,2026-03-05,synthetic cohort divergence
CHN0786,C0786,2026-04-16,2026-03-02,synthetic cohort divergence
CHN0789,C0789,,2026-02-27,synthetic cohort divergence
CHN0792,C0792,2026-04-10,2026-02-24,synthetic cohort divergence
CHN0795,C0795,,2026-02-21,synthetic cohort divergence
CHN0798,C0798,2026-04-04,2026-02-18,synthetic cohort divergence
CHN0801,C0801,,2026-05-26,synthetic cohort divergence
CHN0804,C0804,2026-03-29,2026-05-23,synthetic cohort divergence
CHN0807,C0807,,2026-05-20,synthetic cohort divergence
CHN0810,C0810,2026-03-23,2026-05-17,synthetic cohort divergence
CHN0813,C0813,,2026-05-14,synthetic cohort divergence
CHN0816,C0816,2026-03-17,2026-05-11,synthetic cohort divergence
CHN0819,C0819,,2026-05-08,synthetic cohort divergence
CHN0822,C0822,2026-03-11,2026-05-05,synthetic cohort divergence
CHN0825,C0825,,2026-05-02,synthetic cohort divergence
CHN0828,C0828,2026-05-19,2026-04-29,synthetic cohort divergence
CHN0831,C0831,,2026-04-26,synthetic cohort divergence
CHN0834,C0834,2026-05-13,2026-04-23,synthetic cohort divergence
CHN0837,C0837,,2026-04-20,synthetic cohort divergence
CHN0840,C0840,2026-05-07,2026-04-17,synthetic cohort divergence
CHN0843,C0843,,2026-04-14,synthetic cohort divergence
CHN0846,C0846,2026-05-01,2026-04-11,synthetic cohort divergence
CHN0849,C0849,,2026-04-08,synthetic cohort divergence
CHN0852,C0852,2026-04-25,2026-04-05,synthetic cohort divergence
CHN0855,C0855,,2026-04-02,synthetic cohort divergence
CHN0858,C0858,2026-04-19,2026-03-30,synthetic cohort divergence
CHN0861,C0861,,2026-03-27,synthetic cohort divergence
CHN0864,C0864,2026-04-13,2026-03-24,synthetic cohort divergence
CHN0867,C0867,,2026-03-21,synthetic cohort divergence
CHN0870,C0870,2026-04-07,2026-03-18,synthetic cohort divergence
CHN0873,C0873,,2026-03-15,synthetic cohort divergence
CHN0876,C0876,2026-04-01,2026-03-12,synthetic cohort divergence
CHN0879,C0879,,2026-03-09,synthetic cohort divergence
CHN0882,C0882,2026-03-26,2026-03-06,synthetic cohort divergence
CHN0885,C0885,,2026-03-03,synthetic cohort divergence
CHN0888,C0888,2026-03-20,2026-02-28,synthetic cohort divergence
CHN0891,C0891,,2026-02-25,synthetic cohort divergence
CHN0894,C0894,2026-03-14,2026-02-22,synthetic cohort divergence
CHN0897,C0897,,2026-02-19,synthetic cohort divergence
CHN0900,C0900,2026-05-22,2026-05-27,synthetic cohort divergence
CHN0903,C0903,,2026-05-24,synthetic cohort divergence
CHN0906,C0906,2026-05-16,2026-05-21,synthetic cohort divergence
CHN0909,C0909,,2026-05-18,synthetic cohort divergence
CHN0912,C0912,2026-05-10,2026-05-15,synthetic cohort divergence
CHN0915,C0915,,2026-05-12,synthetic cohort divergence
CHN0918,C0918,2026-05-04,2026-05-09,synthetic cohort divergence
CHN0921,C0921,,2026-05-06,synthetic cohort divergence
CHN0924,C0924,2026-04-28,2026-05-03,synthetic cohort divergence
CHN0927,C0927,,2026-04-30,synthetic cohort divergence
CHN0930,C0930,2026-04-22,2026-04-27,synthetic cohort divergence
CHN0933,C0933,,2026-04-24,synthetic cohort divergence
CHN0936,C0936,2026-04-16,2026-04-21,synthetic cohort divergence
CHN0939,C0939,,2026-04-18,synthetic cohort divergence
CHN0942,C0942,2026-04-10,2026-04-15,synthetic cohort divergence
CHN0945,C0945,,2026-04-12,synthetic cohort divergence
CHN0948,C0948,2026-04-04,2026-04-09,synthetic cohort divergence
CHN0951,C0951,,2026-04-06,synthetic cohort divergence
CHN0954,C0954,2026-03-29,2026-04-03,synthetic cohort divergence
CHN0957,C0957,,2026-03-31,synthetic cohort divergence
CHN0960,C0960,2026-03-23,2026-03-28,synthetic cohort divergence
CHN0963,C0963,,2026-03-25,synthetic cohort divergence
CHN0966,C0966,2026-03-17,2026-03-22,synthetic cohort divergence
CHN0969,C0969,,2026-03-19,synthetic cohort divergence
CHN0972,C0972,2026-03-11,2026-03-16,synthetic cohort divergence
CHN0975,C0975,,2026-03-13,synthetic cohort divergence
CHN0978,C0978,2026-05-19,2026-03-10,synthetic cohort divergence
CHN0981,C0981,,2026-03-07,synthetic cohort divergence
CHN0984,C0984,2026-05-13,2026-03-04,synthetic cohort divergence
CHN0987,C0987,,2026-03-01,synthetic cohort divergence
CHN0990,C0990,2026-05-07,2026-02-26,synthetic cohort divergence
CHN0993,C0993,,2026-02-23,synthetic cohort divergence
CHN0996,C0996,2026-05-01,2026-02-20,synthetic cohort divergence
CHN0999,C0999,,2026-02-17,synthetic cohort divergence
CHN1002,C1002,2026-04-25,2026-05-25,synthetic cohort divergence
CHN1005,C1005,,2026-05-22,synthetic cohort divergence
CHN1008,C1008,2026-04-19,2026-05-19,synthetic cohort divergence
CHN1011,C1011,,2026-05-16,synthetic cohort divergence
CHN1014,C1014,2026-04-13,2026-05-13,synthetic cohort divergence
CHN1017,C1017,,2026-05-10,synthetic cohort divergence
CHN1020,C1020,2026-04-07,2026-05-07,synthetic cohort divergence
CHN1023,C1023,,2026-05-04,synthetic cohort divergence
CHN1026,C1026,2026-04-01,2026-05-01,synthetic cohort divergence
CHN1029,C1029,,2026-04-28,synthetic cohort divergence
CHN1032,C1032,2026-03-26,2026-04-25,synthetic cohort divergence
CHN1035,C1035,,2026-04-22,synthetic cohort divergence
CHN1038,C1038,2026-03-20,2026-04-19,synthetic cohort divergence
CHN1041,C1041,,2026-04-16,synthetic cohort divergence
CHN1044,C1044,2026-03-14,2026-04-13,synthetic cohort divergence
CHN1047,C1047,,2026-04-10,synthetic cohort divergence
CHN1050,C1050,2026-05-22,2026-04-07,synthetic cohort divergence
CHN1053,C1053,,2026-04-04,synthetic cohort divergence
CHN1056,C1056,2026-05-16,2026-04-01,synthetic cohort divergence
CHN1059,C1059,,2026-03-29,synthetic cohort divergence
CHN1062,C1062,2026-05-10,2026-03-26,synthetic cohort divergence
CHN1065,C1065,,2026-03-23,synthetic cohort divergence
CHN1068,C1068,2026-05-04,2026-03-20,synthetic cohort divergence
CHN1071,C1071,,2026-03-17,synthetic cohort divergence
CHN1074,C1074,2026-04-28,2026-03-14,synthetic cohort divergence
CHN1077,C1077,,2026-03-11,synthetic cohort divergence
CHN1080,C1080,2026-04-22,2026-03-08,synthetic cohort divergence
CHN1083,C1083,,2026-03-05,synthetic cohort divergence
CHN1086,C1086,2026-04-16,2026-03-02,synthetic cohort divergence
CHN1089,C1089,,2026-02-27,synthetic cohort divergence
CHN1092,C1092,2026-04-10,2026-02-24,synthetic cohort divergence
CHN1095,C1095,,2026-02-21,synthetic cohort divergence
CHN1098,C1098,2026-04-04,2026-02-18,synthetic cohort divergence
CHN1101,C1101,,2026-05-26,synthetic cohort divergence
CHN1104,C1104,2026-03-29,2026-05-23,synthetic cohort divergence
CHN1107,C1107,,2026-05-20,synthetic cohort divergence
CHN1110,C1110,2026-03-23,2026-05-17,synthetic cohort divergence
CHN1113,C1113,,2026-05-14,synthetic cohort divergence
CHN1116,C1116,2026-03-17,2026-05-11,synthetic cohort divergence
CHN1119,C1119,,2026-05-08,synthetic cohort divergence
CHN1122,C1122,2026-03-11,2026-05-05,synthetic cohort divergence
CHN1125,C1125,,2026-05-02,synthetic cohort divergence
CHN1128,C1128,2026-05-19,2026-04-29,synthetic cohort divergence
CHN1131,C1131,,2026-04-26,synthetic cohort divergence
CHN1134,C1134,2026-05-13,2026-04-23,synthetic cohort divergence
CHN1137,C1137,,2026-04-20,synthetic cohort divergence
CHN1140,C1140,2026-05-07,2026-04-17,synthetic cohort divergence
CHN1143,C1143,,2026-04-14,synthetic cohort divergence
CHN1146,C1146,2026-05-01,2026-04-11,synthetic cohort divergence
CHN1149,C1149,,2026-04-08,synthetic cohort divergence
CHN1152,C1152,2026-04-25,2026-04-05,synthetic cohort divergence
CHN1155,C1155,,2026-04-02,synthetic cohort divergence
CHN1158,C1158,2026-04-19,2026-03-30,synthetic cohort divergence
CHN1161,C1161,,2026-03-27,synthetic cohort divergence
CHN1164,C1164,2026-04-13,2026-03-24,synthetic cohort divergence
CHN1167,C1167,,2026-03-21,synthetic cohort divergence
CHN1170,C1170,2026-04-07,2026-03-18,synthetic cohort divergence
CHN1173,C1173,,2026-03-15,synthetic cohort divergence
CHN1176,C1176,2026-04-01,2026-03-12,synthetic cohort divergence
CHN1179,C1179,,2026-03-09,synthetic cohort divergence
CHN1182,C1182,2026-03-26,2026-03-06,synthetic cohort divergence
CHN1185,C1185,,2026-03-03,synthetic cohort divergence
CHN1188,C1188,2026-03-20,2026-02-28,synthetic cohort divergence
CHN1191,C1191,,2026-02-25,synthetic cohort divergence
CHN1194,C1194,2026-03-14,2026-02-22,synthetic cohort divergence
CHN1197,C1197,,2026-02-19,synthetic cohort divergence
CHN1200,C1200,2026-05-22,2026-05-27,synthetic cohort divergence
CHN1203,C1203,,2026-05-24,synthetic cohort divergence
CHN1206,C1206,2026-05-16,2026-05-21,synthetic cohort divergence
CHN1209,C1209,,2026-05-18,synthetic cohort divergence
CHN1212,C1212,2026-05-10,2026-05-15,synthetic cohort divergence
CHN1215,C1215,,2026-05-12,synthetic cohort divergence
CHN1218,C1218,2026-05-04,2026-05-09,synthetic cohort divergence
CHN1221,C1221,,2026-05-06,synthetic cohort divergence
CHN1224,C1224,2026-04-28,2026-05-03,synthetic cohort divergence
CHN1227,C1227,,2026-04-30,synthetic cohort divergence
CHN1230,C1230,2026-04-22,2026-04-27,synthetic cohort divergence
CHN1233,C1233,,2026-04-24,synthetic cohort divergence
CHN1236,C1236,2026-04-16,2026-04-21,synthetic cohort divergence
CHN1239,C1239,,2026-04-18,synthetic cohort divergence
CHN1242,C1242,2026-04-10,2026-04-15,synthetic cohort divergence
CHN1245,C1245,,2026-04-12,synthetic cohort divergence
CHN1248,C1248,2026-04-04,2026-04-09,synthetic cohort divergence
CHN1251,C1251,,2026-04-06,synthetic cohort divergence
CHN1254,C1254,2026-03-29,2026-04-03,synthetic cohort divergence
CHN1257,C1257,,2026-03-31,synthetic cohort divergence
CHN1260,C1260,2026-03-23,2026-03-28,synthetic cohort divergence
CHN1263,C1263,,2026-03-25,synthetic cohort divergence
CHN1266,C1266,2026-03-17,2026-03-22,synthetic cohort divergence
CHN1269,C1269,,2026-03-19,synthetic cohort divergence
CHN1272,C1272,2026-03-11,2026-03-16,synthetic cohort divergence
CHN1275,C1275,,2026-03-13,synthetic cohort divergence
CHN1278,C1278,2026-05-19,2026-03-10,synthetic cohort divergence
CHN1281,C1281,,2026-03-07,synthetic cohort divergence
CHN1284,C1284,2026-05-13,2026-03-04,synthetic cohort divergence
CHN1287,C1287,,2026-03-01,synthetic cohort divergence
CHN1290,C1290,2026-05-07,2026-02-26,synthetic cohort divergence
CHN1293,C1293,,2026-02-23,synthetic cohort divergence
CHN1296,C1296,2026-05-01,2026-02-20,synthetic cohort divergence
CHN1299,C1299,,2026-02-17,synthetic cohort divergence
CHN1302,C1302,2026-04-25,2026-05-25,synthetic cohort divergence
CHN1305,C1305,,2026-05-22,synthetic cohort divergence
