completion_id,learner_id,module_id,completed,completed_at
MC-080-2,L080,MOD-GOVERNANCE,1,2026-05-10
MC-080-3,L080,MOD-AGENTS,1,2026-05-09
MC-081-1,L081,MOD-FOUNDATIONS,1,2026-05-11
MC-081-2,L081,MOD-GOVERNANCE,1,2026-05-10
MC-082-1,L082,MOD-FOUNDATIONS,1,2026-05-11
MC-082-2,L082,MOD-GOVERNANCE,1,2026-05-10
MC-083-1,L083,MOD-FOUNDATIONS,1,2026-05-11
MC-083-2,L083,MOD-GOVERNANCE,1,2026-05-10
MC-084-1,L084,MOD-FOUNDATIONS,1,2026-05-11
MC-084-2,L084,MOD-GOVERNANCE,1,2026-05-10
MC-085-1,L085,MOD-FOUNDATIONS,1,2026-05-11
MC-085-2,L085,MOD-GOVERNANCE,1,2026-05-10
MC-086-1,L086,MOD-FOUNDATIONS,1,2026-05-11
MC-086-2,L086,MOD-GOVERNANCE,1,2026-05-10
MC-087-1,L087,MOD-FOUNDATIONS,1,2026-05-11
MC-087-2,L087,MOD-GOVERNANCE,1,2026-05-10
MC-088-1,L088,MOD-FOUNDATIONS,1,2026-05-11
MC-088-2,L088,MOD-GOVERNANCE,1,2026-05-10
MC-089-1,L089,MOD-FOUNDATIONS,1,2026-05-11
MC-089-2,L089,MOD-GOVERNANCE,1,2026-05-10
MC-090-1,L090,MOD-FOUNDATIONS,1,2026-05-11
MC-090-2,L090,MOD-GOVERNANCE,1,2026-05-10
MC-091-1,L091,MOD-FOUNDATIONS,1,2026-05-11
MC-091-2,L091,MOD-GOVERNANCE,1,2026-05-10
MC-092-1,L092,MOD-FOUNDATIONS,1,2026-05-11
MC-092-2,L092,MOD-GOVERNANCE,1,2026-05-10
MC-093-1,L093,MOD-FOUNDATIONS,1,2026-05-11
MC-093-2,L093,MOD-GOVERNANCE,1,2026-05-10
MC-094-1,L094,MOD-FOUNDATIONS,1,2026-05-11
MC-094-2,L094,MOD-GOVERNANCE,1,2026-05-10
MC-095-1,L095,MOD-FOUNDATIONS,1,2026-05-11
MC-095-2,L095,MOD-GOVERNANCE,1,2026-05-10
MC-096-1,L096,MOD-FOUNDATIONS,1,2026-05-11
MC-096-2,L096,MOD-GOVERNANCE,1,2026-05-10
MC-097-1,L097,MOD-FOUNDATIONS,1,2026-05-11
MC-097-2,L097,MOD-GOVERNANCE,1,2026-05-10
MC-098-1,L098,MOD-FOUNDATIONS,1,2026-05-11
MC-098-2,L098,MOD-GOVERNANCE,1,2026-05-10
MC-099-1,L099,MOD-FOUNDATIONS,1,2026-05-11
MC-099-2,L099,MOD-GOVERNANCE,1,2026-05-10
MC-100-1,L100,MOD-FOUNDATIONS,1,2026-05-11
MC-100-2,L100,MOD-GOVERNANCE,1,2026-05-10
MC-101-1,L101,MOD-FOUNDATIONS,1,2026-05-11
MC-101-2,L101,MOD-GOVERNANCE,1,2026-05-10
MC-102-1,L102,MOD-FOUNDATIONS,1,2026-05-11
MC-102-2,L102,MOD-GOVERNANCE,1,2026-05-10
MC-103-1,L103,MOD-FOUNDATIONS,1,2026-05-11
MC-103-2,L103,MOD-GOVERNANCE,1,2026-05-10
MC-104-1,L104,MOD-FOUNDATIONS,1,2026-05-11
MC-104-2,L104,MOD-GOVERNANCE,1,2026-05-10
MC-105-1,L105,MOD-FOUNDATIONS,1,2026-05-11
MC-105-2,L105,MOD-GOVERNANCE,1,2026-05-10
MC-106-1,L106,MOD-FOUNDATIONS,1,2026-05-11
MC-106-2,L106,MOD-GOVERNANCE,1,2026-05-10
MC-107-1,L107,MOD-FOUNDATIONS,1,2026-05-11
MC-107-2,L107,MOD-GOVERNANCE,1,2026-05-10
MC-108-1,L108,MOD-FOUNDATIONS,1,2026-05-11
MC-108-2,L108,MOD-GOVERNANCE,1,2026-05-10
MC-109-1,L109,MOD-FOUNDATIONS,1,2026-05-11
MC-109-2,L109,MOD-GOVERNANCE,1,2026-05-10
MC-110-1,L110,MOD-FOUNDATIONS,1,2026-05-11
MC-110-2,L110,MOD-GOVERNANCE,1,2026-05-10
MC-111-1,L111,MOD-FOUNDATIONS,1,2026-05-11
MC-111-2,L111,MOD-GOVERNANCE,1,2026-05-10
MC-112-1,L112,MOD-FOUNDATIONS,1,2026-05-11
MC-112-2,L112,MOD-GOVERNANCE,1,2026-05-10
MC-113-1,L113,MOD-FOUNDATIONS,1,2026-05-11
MC-113-2,L113,MOD-GOVERNANCE,1,2026-05-10
MC-114-1,L114,MOD-FOUNDATIONS,1,2026-05-11
MC-114-2,L114,MOD-GOVERNANCE,1,2026-05-10
MC-115-1,L115,MOD-FOUNDATIONS,1,2026-05-11
MC-115-2,L115,MOD-GOVERNANCE,1,2026-05-10
MC-116-1,L116,MOD-FOUNDATIONS,1,2026-05-11
MC-116-2,L116,MOD-GOVERNANCE,1,2026-05-10
MC-117-1,L117,MOD-FOUNDATIONS,1,2026-05-11
MC-117-2,L117,MOD-GOVERNANCE,1,2026-05-10
MC-118-1,L118,MOD-FOUNDATIONS,1,2026-05-11
MC-118-2,L118,MOD-GOVERNANCE,1,2026-05-10
MC-119-1,L119,MOD-FOUNDATIONS,1,2026-05-11
MC-119-2,L119,MOD-GOVERNANCE,1,2026-05-10
MC-120-1,L120,MOD-FOUNDATIONS,1,2026-05-11
MC-120-2,L120,MOD-GOVERNANCE,1,2026-05-10
