customer_id,customer_name,region,segment,annual_recurring_revenue,created_at
C0047,Northstar Synthetic 047,Europe,Mid-Market,31000,2024-04-27
C0048,Northstar Synthetic 048,Asia Pacific,Growth,109000,2024-01-10
C0049,Northstar Synthetic 049,North America,Enterprise,212000,2023-05-15
C0050,Northstar Synthetic 050,Europe,Mid-Market,218000,2023-08-11
C0051,Northstar Synthetic 051,Asia Pacific,Growth,216000,2025-01-04
C0052,Northstar Synthetic 052,North America,Enterprise,158000,2024-05-14
C0053,Northstar Synthetic 053,Europe,Mid-Market,227000,2024-05-26
C0054,Northstar Synthetic 054,Asia Pacific,Growth,140000,2023-06-25
C0055,Northstar Synthetic 055,North America,Enterprise,184000,2025-04-25
C0056,Northstar Synthetic 056,Europe,Mid-Market,138000,2024-05-28
C0057,Northstar Synthetic 057,Asia Pacific,Growth,53000,2024-02-23
C0058,Northstar Synthetic 058,North America,Enterprise,137000,2023-04-08
C0059,Northstar Synthetic 059,Europe,Mid-Market,40000,2024-11-02
C0060,Northstar Synthetic 060,Asia Pacific,Growth,206000,2023-11-19
C0061,Northstar Synthetic 061,North America,Enterprise,57000,2024-05-23
C0062,Northstar Synthetic 062,Europe,Mid-Market,219000,2023-11-04
C0063,Northstar Synthetic 063,Asia Pacific,Growth,235000,2024-12-16
C0064,Northstar Synthetic 064,North America,Enterprise,103000,2023-11-27
C0065,Northstar Synthetic 065,Europe,Mid-Market,200000,2023-02-28
C0066,Northstar Synthetic 066,Asia Pacific,Growth,163000,2023-12-21
C0067,Northstar Synthetic 067,North America,Enterprise,194000,2023-05-12
C0068,Northstar Synthetic 068,Europe,Mid-Market,209000,2024-03-07
C0069,Northstar Synthetic 069,Asia Pacific,Growth,200000,2024-09-26
C0070,Northstar Synthetic 070,North America,Enterprise,48000,2023-08-28
C0071,Northstar Synthetic 071,Europe,Mid-Market,125000,2024-02-03
C0072,Northstar Synthetic 072,Asia Pacific,Growth,123000,2023-11-02
C0073,Northstar Synthetic 073,North America,Enterprise,66000,2023-07-30
C0074,Northstar Synthetic 074,Europe,Mid-Market,226000,2025-01-22
C0075,Northstar Synthetic 075,Asia Pacific,Growth,55000,2023-04-24
C0076,Northstar Synthetic 076,North America,Enterprise,26000,2024-08-04
C0077,Northstar Synthetic 077,Europe,Mid-Market,64000,2024-03-11
C0078,Northstar Synthetic 078,Asia Pacific,Growth,41000,2023-05-24
C0079,Northstar Synthetic 079,North America,Enterprise,116000,2023-09-29
C0080,Northstar Synthetic 080,Europe,Mid-Market,153000,2024-04-21
C0081,Northstar Synthetic 081,Asia Pacific,Growth,224000,2024-07-19
C0082,Northstar Synthetic 082,North America,Enterprise,47000,2023-10-21
C0083,Northstar Synthetic 083,Europe,Mid-Market,45000,2025-02-03
C0084,Northstar Synthetic 084,Asia Pacific,Growth,128000,2024-06-30
C0085,Northstar Synthetic 085,North America,Enterprise,230000,2024-03-20
C0086,Northstar Synthetic 086,Europe,Mid-Market,126000,2024-04-28
C0087,Northstar Synthetic 087,Asia Pacific,Growth,100000,2024-06-05
C0088,Northstar Synthetic 088,North America,Enterprise,183000,2023-06-30
C0089,Northstar Synthetic 089,Europe,Mid-Market,173000,2024-11-02
C0090,Northstar Synthetic 090,Asia Pacific,Growth,60000,2025-03-30
C0091,Northstar Synthetic 091,North America,Enterprise,122000,2023-06-24
C0092,Northstar Synthetic 092,Europe,Mid-Market,42000,2023-02-09
C0093,Northstar Synthetic 093,Asia Pacific,Growth,52000,2023-10-17
C0094,Northstar Synthetic 094,North America,Enterprise,128000,2024-08-28
C0095,Northstar Synthetic 095,Europe,Mid-Market,43000,2023-12-14
C0096,Northstar Synthetic 096,Asia Pacific,Growth,157000,2022-12-10
C0097,Northstar Synthetic 097,North America,Enterprise,61000,2024-11-02
C0098,Northstar Synthetic 098,Europe,Mid-Market,202000,2023-08-12
C0099,Northstar Synthetic 099,Asia Pacific,Growth,205000,2025-03-26
C0100,Northstar Synthetic 100,North America,Enterprise,157000,2023-02-17
C0101,Northstar Synthetic 101,Europe,Mid-Market,121000,2024-02-02
C0102,Northstar Synthetic 102,Asia Pacific,Growth,135000,2024-08-09
C0103,Northstar Synthetic 103,North America,Enterprise,127000,2024-03-03
C0104,Northstar Synthetic 104,Europe,Mid-Market,70000,2023-01-15
C0105,Northstar Synthetic 105,Asia Pacific,Growth,127000,2024-05-28
C0106,Northstar Synthetic 106,North America,Enterprise,111000,2024-02-26
C0107,Northstar Synthetic 107,Europe,Mid-Market,211000,2024-04-09
C0108,Northstar Synthetic 108,Asia Pacific,Growth,168000,2024-01-24
C0109,Northstar Synthetic 109,North America,Enterprise,193000,2024-09-20
C0110,Northstar Synthetic 110,Europe,Mid-Market,46000,2023-12-31
C0111,Northstar Synthetic 111,Asia Pacific,Growth,185000,2024-09-19
C0112,Northstar Synthetic 112,North America,Enterprise,155000,2024-09-04
C0113,Northstar Synthetic 113,Europe,Mid-Market,65000,2022-11-30
C0114,Northstar Synthetic 114,Asia Pacific,Growth,25000,2023-12-03
C0115,Northstar Synthetic 115,North America,Enterprise,139000,2023-04-12
C0116,Northstar Synthetic 116,Europe,Mid-Market,47000,2024-02-03
C0117,Northstar Synthetic 117,Asia Pacific,Growth,185000,2024-05-30
C0118,Northstar Synthetic 118,North America,Enterprise,112000,2025-03-17
C0119,Northstar Synthetic 119,Europe,Mid-Market,198000,2024-11-22
C0120,Northstar Synthetic 120,Asia Pacific,Growth,171000,2024-09-19
C0121,Northstar Synthetic 121,North America,Enterprise,70000,2024-05-25
C0122,Northstar Synthetic 122,Europe,Mid-Market,79000,2023-01-22
C0123,Northstar Synthetic 123,Asia Pacific,Growth,55000,2024-03-13
C0124,Northstar Synthetic 124,North America,Enterprise,191000,2023-12-27
C0125,Northstar Synthetic 125,Europe,Mid-Market,44000,2025-01-06
C0126,Northstar Synthetic 126,Asia Pacific,Growth,186000,2023-06-30
C0127,Northstar Synthetic 127,North America,Enterprise,187000,2022-11-25
C0128,Northstar Synthetic 128,Europe,Mid-Market,165000,2024-01-14
C0129,Northstar Synthetic 129,Asia Pacific,Growth,207000,2024-07-01
C0130,Northstar Synthetic 130,North America,Enterprise,126000,2023-12-08
C0131,Northstar Synthetic 131,Europe,Mid-Market,224000,2023-05-21
C0132,Northstar Synthetic 132,Asia Pacific,Growth,93000,2024-11-13
C0133,Northstar Synthetic 133,North America,Enterprise,155000,2022-11-17
C0134,Northstar Synthetic 134,Europe,Mid-Market,203000,2024-11-26
C0135,Northstar Synthetic 135,Asia Pacific,Growth,227000,2023-11-22
C0136,Northstar Synthetic 136,North America,Enterprise,87000,2024-02-03
C0137,Northstar Synthetic 137,Europe,Mid-Market,42000,2024-10-31
C0138,Northstar Synthetic 138,Asia Pacific,Growth,33000,2023-04-05
C0139,Northstar Synthetic 139,North America,Enterprise,236000,2024-04-09
C0140,Northstar Synthetic 140,Europe,Mid-Market,180000,2023-04-19
C0141,Northstar Synthetic 141,Asia Pacific,Growth,151000,2023-04-23
C0142,Northstar Synthetic 142,North America,Enterprise,104000,2023-06-14
C0143,Northstar Synthetic 143,Europe,Mid-Market,72000,2023-08-10
C0144,Northstar Synthetic 144,Asia Pacific,Growth,151000,2024-01-30
C0145,Northstar Synthetic 145,North America,Enterprise,29000,2024-06-17
C0146,Northstar Synthetic 146,Europe,Mid-Market,191000,2023-12-14
C0147,Northstar Synthetic 147,Asia Pacific,Growth,239000,2023-12-24
C0148,Northstar Synthetic 148,North America,Enterprise,206000,2024-09-15
C0149,Northstar Synthetic 149,Europe,Mid-Market,173000,2023-03-10
C0150,Northstar Synthetic 150,Asia Pacific,Growth,89000,2024-09-26
C0151,Northstar Synthetic 151,North America,Enterprise,120000,2023-10-06
C0152,Northstar Synthetic 152,Europe,Mid-Market,202000,2023-07-22
C0153,Northstar Synthetic 153,Asia Pacific,Growth,135000,2022-12-01
C0154,Northstar Synthetic 154,North America,Enterprise,157000,2024-01-31
C0155,Northstar Synthetic 155,Europe,Mid-Market,132000,2024-10-16
C0156,Northstar Synthetic 156,Asia Pacific,Growth,75000,2024-08-29
C0157,Northstar Synthetic 157,North America,Enterprise,238000,2023-03-03
C0158,Northstar Synthetic 158,Europe,Mid-Market,33000,2023-05-14
C0159,Northstar Synthetic 159,Asia Pacific,Growth,163000,2025-01-13
C0160,Northstar Synthetic 160,North America,Enterprise,80000,2023-01-09
C0161,Northstar Synthetic 161,Europe,Mid-Market,119000,2025-02-02
C0162,Northstar Synthetic 162,Asia Pacific,Growth,139000,2025-04-21
C0163,Northstar Synthetic 163,North America,Enterprise,152000,2025-03-14
C0164,Northstar Synthetic 164,Europe,Mid-Market,71000,2023-05-29
C0165,Northstar Synthetic 165,Asia Pacific,Growth,60000,2023-08-05
C0166,Northstar Synthetic 166,North America,Enterprise,133000,2023-06-07
C0167,Northstar Synthetic 167,Europe,Mid-Market,48000,2024-01-16
C0168,Northstar Synthetic 168,Asia Pacific,Growth,86000,2024-11-28
C0169,Northstar Synthetic 169,North America,Enterprise,230000,2025-03-11
C0170,Northstar Synthetic 170,Europe,Mid-Market,228000,2024-10-25
C0171,Northstar Synthetic 171,Asia Pacific,Growth,58000,2023-06-14
C0172,Northstar Synthetic 172,North America,Enterprise,86000,2023-07-31
C0173,Northstar Synthetic 173,Europe,Mid-Market,237000,2024-12-10
C0174,Northstar Synthetic 174,Asia Pacific,Growth,86000,2023-06-16
C0175,Northstar Synthetic 175,North America,Enterprise,49000,2025-04-03
C0176,Northstar Synthetic 176,Europe,Mid-Market,119000,2023-07-14
C0177,Northstar Synthetic 177,Asia Pacific,Growth,66000,2023-09-19
C0178,Northstar Synthetic 178,North America,Enterprise,115000,2024-11-01
C0179,Northstar Synthetic 179,Europe,Mid-Market,100000,2023-11-26
C0180,Northstar Synthetic 180,Asia Pacific,Growth,145000,2024-09-17
C0181,Northstar Synthetic 181,North America,Enterprise,72000,2023-02-20
C0182,Northstar Synthetic 182,Europe,Mid-Market,30000,2024-07-06
C0183,Northstar Synthetic 183,Asia Pacific,Growth,36000,2023-12-15
C0184,Northstar Synthetic 184,North America,Enterprise,91000,2024-03-24
C0185,Northstar Synthetic 185,Europe,Mid-Market,82000,2024-03-10
C0186,Northstar Synthetic 186,Asia Pacific,Growth,139000,2023-01-22
C0187,Northstar Synthetic 187,North America,Enterprise,117000,2025-03-08
C0188,Northstar Synthetic 188,Europe,Mid-Market,171000,2024-11-10
C0189,Northstar Synthetic 189,Asia Pacific,Growth,60000,2024-11-07
C0190,Northstar Synthetic 190,North America,Enterprise,186000,2023-08-21
C0191,Northstar Synthetic 191,Europe,Mid-Market,70000,2023-11-25
C0192,Northstar Synthetic 192,Asia Pacific,Growth,230000,2024-12-10
C0193,Northstar Synthetic 193,North America,Enterprise,136000,2024-07-20
C0194,Northstar Synthetic 194,Europe,Mid-Market,94000,2025-03-09
C0195,Northstar Synthetic 195,Asia Pacific,Growth,94000,2024-12-19
C0196,Northstar Synthetic 196,North America,Enterprise,129000,2022-12-13
C0197,Northstar Synthetic 197,Europe,Mid-Market,107000,2023-06-23
C0198,Northstar Synthetic 198,Asia Pacific,Growth,132000,2024-01-04
C0199,Northstar Synthetic 199,North America,Enterprise,118000,2023-03-11
C0200,Northstar Synthetic 200,Europe,Mid-Market,169000,2023-06-05
C0201,Northstar Synthetic 201,Asia Pacific,Growth,44000,2023-03-10
C0202,Northstar Synthetic 202,North America,Enterprise,71000,2023-06-14
C0203,Northstar Synthetic 203,Europe,Mid-Market,27000,2024-12-30
C0204,Northstar Synthetic 204,Asia Pacific,Growth,46000,2023-09-25
C0205,Northstar Synthetic 205,North America,Enterprise,167000,2023-06-10
C0206,Northstar Synthetic 206,Europe,Mid-Market,108000,2024-08-18
C0207,Northstar Synthetic 207,Asia Pacific,Growth,219000,2023-09-06
C0208,Northstar Synthetic 208,North America,Enterprise,77000,2024-06-28
C0209,Northstar Synthetic 209,Europe,Mid-Market,42000,2025-01-23
C0210,Northstar Synthetic 210,Asia Pacific,Growth,204000,2024-01-03
C0211,Northstar Synthetic 211,North America,Enterprise,120000,2024-07-22
C0212,Northstar Synthetic 212,Europe,Mid-Market,202000,2023-09-07
C0213,Northstar Synthetic 213,Asia Pacific,Growth,133000,2022-11-30
C0214,Northstar Synthetic 214,North America,Enterprise,187000,2024-04-09
C0215,Northstar Synthetic 215,Europe,Mid-Market,121000,2024-01-17
C0216,Northstar Synthetic 216,Asia Pacific,Growth,122000,2024-10-31
C0217,Northstar Synthetic 217,North America,Enterprise,192000,2024-03-04
C0218,Northstar Synthetic 218,Europe,Mid-Market,196000,2023-12-14
C0219,Northstar Synthetic 219,Asia Pacific,Growth,96000,2023-10-06
C0220,Northstar Synthetic 220,North America,Enterprise,28000,2024-05-30
C0221,Northstar Synthetic 221,Europe,Mid-Market,225000,2022-12-22
C0222,Northstar Synthetic 222,Asia Pacific,Growth,165000,2025-03-22
C0223,Northstar Synthetic 223,North America,Enterprise,162000,2023-06-20
C0224,Northstar Synthetic 224,Europe,Mid-Market,47000,2023-09-19
C0225,Northstar Synthetic 225,Asia Pacific,Growth,171000,2024-12-04
C0226,Northstar Synthetic 226,North America,Enterprise,210000,2024-12-29
C0227,Northstar Synthetic 227,Europe,Mid-Market,96000,2025-04-27
C0228,Northstar Synthetic 228,Asia Pacific,Growth,127000,2024-01-17
C0229,Northstar Synthetic 229,North America,Enterprise,67000,2024-10-23
C0230,Northstar Synthetic 230,Europe,Mid-Market,155000,2023-06-21
C0231,Northstar Synthetic 231,Asia Pacific,Growth,153000,2024-11-23
C0232,Northstar Synthetic 232,North America,Enterprise,225000,2023-07-26
C0233,Northstar Synthetic 233,Europe,Mid-Market,115000,2024-01-20
C0234,Northstar Synthetic 234,Asia Pacific,Growth,184000,2024-04-17
C0235,Northstar Synthetic 235,North America,Enterprise,142000,2023-05-27
C0236,Northstar Synthetic 236,Europe,Mid-Market,42000,2024-06-26
C0237,Northstar Synthetic 237,Asia Pacific,Growth,112000,2022-12-01
C0238,Northstar Synthetic 238,North America,Enterprise,214000,2022-11-16
C0239,Northstar Synthetic 239,Europe,Mid-Market,155000,2025-01-16
C0240,Northstar Synthetic 240,Asia Pacific,Growth,24000,2023-03-21
C0241,Northstar Synthetic 241,North America,Enterprise,126000,2024-08-31
C0242,Northstar Synthetic 242,Europe,Mid-Market,154000,2023-04-21
C0243,Northstar Synthetic 243,Asia Pacific,Growth,104000,2023-04-28
C0244,Northstar Synthetic 244,North America,Enterprise,53000,2024-12-16
C0245,Northstar Synthetic 245,Europe,Mid-Market,162000,2024-07-19
C0246,Northstar Synthetic 246,Asia Pacific,Growth,153000,2023-01-16
C0247,Northstar Synthetic 247,North America,Enterprise,47000,2023-09-21
C0248,Northstar Synthetic 248,Europe,Mid-Market,88000,2024-01-09
C0249,Northstar Synthetic 249,Asia Pacific,Growth,236000,2024-12-04
C0250,Northstar Synthetic 250,North America,Enterprise,191000,2024-02-26
C0251,Northstar Synthetic 251,Europe,Mid-Market,138000,2025-03-15
C0252,Northstar Synthetic 252,Asia Pacific,Growth,150000,2023-08-07
C0253,Northstar Synthetic 253,North America,Enterprise,206000,2022-11-22
C0254,Northstar Synthetic 254,Europe,Mid-Market,226000,2023-06-16
C0255,Northstar Synthetic 255,Asia Pacific,Growth,148000,2024-02-27
C0256,Northstar Synthetic 256,North America,Enterprise,181000,2023-11-24
C0257,Northstar Synthetic 257,Europe,Mid-Market,80000,2025-01-27
C0258,Northstar Synthetic 258,Asia Pacific,Growth,149000,2024-05-06
C0259,Northstar Synthetic 259,North America,Enterprise,42000,2024-12-16
C0260,Northstar Synthetic 260,Europe,Mid-Market,238000,2023-06-08
C0261,Northstar Synthetic 261,Asia Pacific,Growth,197000,2023-10-30
C0262,Northstar Synthetic 262,North America,Enterprise,230000,2024-12-05
C0263,Northstar Synthetic 263,Europe,Mid-Market,204000,2022-11-23
C0264,Northstar Synthetic 264,Asia Pacific,Growth,121000,2024-08-24
C0265,Northstar Synthetic 265,North America,Enterprise,48000,2024-01-08
C0266,Northstar Synthetic 266,Europe,Mid-Market,111000,2024-12-04
C0267,Northstar Synthetic 267,Asia Pacific,Growth,53000,2024-04-20
C0268,Northstar Synthetic 268,North America,Enterprise,41000,2024-09-30
C0269,Northstar Synthetic 269,Europe,Mid-Market,171000,2025-04-11
C0270,Northstar Synthetic 270,Asia Pacific,Growth,39000,2023-07-07
C0271,Northstar Synthetic 271,North America,Enterprise,83000,2023-09-19
C0272,Northstar Synthetic 272,Europe,Mid-Market,147000,2023-10-11
C0273,Northstar Synthetic 273,Asia Pacific,Growth,148000,2023-11-04
C0274,Northstar Synthetic 274,North America,Enterprise,63000,2023-11-24
C0275,Northstar Synthetic 275,Europe,Mid-Market,202000,2023-10-16
C0276,Northstar Synthetic 276,Asia Pacific,Growth,222000,2023-11-12
C0277,Northstar Synthetic 277,North America,Enterprise,133000,2024-10-29
C0278,Northstar Synthetic 278,Europe,Mid-Market,47000,2023-01-27
C0279,Northstar Synthetic 279,Asia Pacific,Growth,84000,2023-10-08
C0280,Northstar Synthetic 280,North America,Enterprise,181000,2024-11-30
C0281,Northstar Synthetic 281,Europe,Mid-Market,30000,2024-09-08
C0282,Northstar Synthetic 282,Asia Pacific,Growth,127000,2024-10-02
C0283,Northstar Synthetic 283,North America,Enterprise,158000,2023-11-11
C0284,Northstar Synthetic 284,Europe,Mid-Market,98000,2024-12-18
C0285,Northstar Synthetic 285,Asia Pacific,Growth,216000,2024-04-13
C0286,Northstar Synthetic 286,North America,Enterprise,211000,2024-01-31
C0287,Northstar Synthetic 287,Europe,Mid-Market,108000,2022-12-12
C0288,Northstar Synthetic 288,Asia Pacific,Growth,95000,2023-08-29
C0289,Northstar Synthetic 289,North America,Enterprise,218000,2024-01-09
C0290,Northstar Synthetic 290,Europe,Mid-Market,45000,2024-03-09
C0291,Northstar Synthetic 291,Asia Pacific,Growth,121000,2023-06-15
C0292,Northstar Synthetic 292,North America,Enterprise,82000,2024-09-16
C0293,Northstar Synthetic 293,Europe,Mid-Market,61000,2024-10-24
C0294,Northstar Synthetic 294,Asia Pacific,Growth,170000,2023-07-20
C0295,Northstar Synthetic 295,North America,Enterprise,184000,2024-08-19
C0296,Northstar Synthetic 296,Europe,Mid-Market,194000,2024-02-20
C0297,Northstar Synthetic 297,Asia Pacific,Growth,63000,2023-04-07
C0298,Northstar Synthetic 298,North America,Enterprise,225000,2022-12-15
C0299,Northstar Synthetic 299,Europe,Mid-Market,189000,2024-01-25
C0300,Northstar Synthetic 300,Asia Pacific,Growth,170000,2025-03-27
C0301,Northstar Synthetic 301,North America,Enterprise,113000,2023-06-15
C0302,Northstar Synthetic 302,Europe,Mid-Market,78000,2024-10-01
C0303,Northstar Synthetic 303,Asia Pacific,Growth,225000,2024-11-19
C0304,Northstar Synthetic 304,North America,Enterprise,71000,2023-02-06
C0305,Northstar Synthetic 305,Europe,Mid-Market,195000,2025-01-14
C0306,Northstar Synthetic 306,Asia Pacific,Growth,83000,2024-01-21
C0307,Northstar Synthetic 307,North America,Enterprise,86000,2024-12-18
C0308,Northstar Synthetic 308,Europe,Mid-Market,135000,2024-04-20
C0309,Northstar Synthetic 309,Asia Pacific,Growth,62000,2025-03-25
C0310,Northstar Synthetic 310,North America,Enterprise,123000,2023-09-18
C0311,Northstar Synthetic 311,Europe,Mid-Market,238000,2023-01-24
C0312,Northstar Synthetic 312,Asia Pacific,Growth,138000,2025-02-09
C0313,Northstar Synthetic 313,North America,Enterprise,212000,2023-12-26
C0314,Northstar Synthetic 314,Europe,Mid-Market,223000,2022-12-18
C0315,Northstar Synthetic 315,Asia Pacific,Growth,158000,2024-08-12
C0316,Northstar Synthetic 316,North America,Enterprise,237000,2024-07-20
C0317,Northstar Synthetic 317,Europe,Mid-Market,155000,2024-10-23
C0318,Northstar Synthetic 318,Asia Pacific,Growth,116000,2024-07-19
C0319,Northstar Synthetic 319,North America,Enterprise,136000,2025-03-12
C0320,Northstar Synthetic 320,Europe,Mid-Market,147000,2024-09-25
C0321,Northstar Synthetic 321,Asia Pacific,Growth,62000,2024-06-29
C0322,Northstar Synthetic 322,North America,Enterprise,85000,2023-06-23
C0323,Northstar Synthetic 323,Europe,Mid-Market,216000,2023-03-02
C0324,Northstar Synthetic 324,Asia Pacific,Growth,182000,2024-06-19
C0325,Northstar Synthetic 325,North America,Enterprise,155000,2025-01-03
C0326,Northstar Synthetic 326,Europe,Mid-Market,39000,2025-02-13
C0327,Northstar Synthetic 327,Asia Pacific,Growth,77000,2024-08-16
C0328,Northstar Synthetic 328,North America,Enterprise,125000,2024-03-09
C0329,Northstar Synthetic 329,Europe,Mid-Market,26000,2024-02-11
C0330,Northstar Synthetic 330,Asia Pacific,Growth,223000,2023-02-15
C0331,Northstar Synthetic 331,North America,Enterprise,109000,2024-12-27
C0332,Northstar Synthetic 332,Europe,Mid-Market,86000,2025-03-02
C0333,Northstar Synthetic 333,Asia Pacific,Growth,158000,2024-11-11
C0334,Northstar Synthetic 334,North America,Enterprise,74000,2025-01-06
C0335,Northstar Synthetic 335,Europe,Mid-Market,66000,2024-07-07
C0336,Northstar Synthetic 336,Asia Pacific,Growth,48000,2024-05-04
C0337,Northstar Synthetic 337,North America,Enterprise,67000,2024-03-20
C0338,Northstar Synthetic 338,Europe,Mid-Market,225000,2024-12-15
C0339,Northstar Synthetic 339,Asia Pacific,Growth,205000,2024-03-14
C0340,Northstar Synthetic 340,North America,Enterprise,121000,2024-03-27
C0341,Northstar Synthetic 341,Europe,Mid-Market,151000,2022-12-11
C0342,Northstar Synthetic 342,Asia Pacific,Growth,116000,2024-10-19
C0343,Northstar Synthetic 343,North America,Enterprise,44000,2023-02-27
C0344,Northstar Synthetic 344,Europe,Mid-Market,26000,2023-04-17
C0345,Northstar Synthetic 345,Asia Pacific,Growth,157000,2024-01-14
C0346,Northstar Synthetic 346,North America,Enterprise,51000,2025-04-19
C0347,Northstar Synthetic 347,Europe,Mid-Market,231000,2025-02-26
C0348,Northstar Synthetic 348,Asia Pacific,Growth,80000,2023-11-30
C0349,Northstar Synthetic 349,North America,Enterprise,161000,2024-02-17
C0350,Northstar Synthetic 350,Europe,Mid-Market,168000,2023-04-25
C0351,Northstar Synthetic 351,Asia Pacific,Growth,86000,2023-05-06
C0352,Northstar Synthetic 352,North America,Enterprise,101000,2024-10-09
C0353,Northstar Synthetic 353,Europe,Mid-Market,226000,2025-01-20
C0354,Northstar Synthetic 354,Asia Pacific,Growth,212000,2023-02-01
C0355,Northstar Synthetic 355,North America,Enterprise,231000,2024-03-26
C0356,Northstar Synthetic 356,Europe,Mid-Market,206000,2023-01-27
C0357,Northstar Synthetic 357,Asia Pacific,Growth,235000,2024-04-03
C0358,Northstar Synthetic 358,North America,Enterprise,118000,2023-02-12
C0359,Northstar Synthetic 359,Europe,Mid-Market,55000,2024-05-17
C0360,Northstar Synthetic 360,Asia Pacific,Growth,183000,2023-06-28
C0361,Northstar Synthetic 361,North America,Enterprise,77000,2023-07-22
C0362,Northstar Synthetic 362,Europe,Mid-Market,118000,2023-02-07
C0363,Northstar Synthetic 363,Asia Pacific,Growth,214000,2024-03-10
C0364,Northstar Synthetic 364,North America,Enterprise,71000,2024-10-26
C0365,Northstar Synthetic 365,Europe,Mid-Market,67000,2024-01-13
C0366,Northstar Synthetic 366,Asia Pacific,Growth,39000,2023-02-24
C0367,Northstar Synthetic 367,North America,Enterprise,24000,2024-11-09
C0368,Northstar Synthetic 368,Europe,Mid-Market,52000,2023-12-22
C0369,Northstar Synthetic 369,Asia Pacific,Growth,125000,2025-02-12
C0370,Northstar Synthetic 370,North America,Enterprise,38000,2023-04-01
C0371,Northstar Synthetic 371,Europe,Mid-Market,161000,2024-08-06
C0372,Northstar Synthetic 372,Asia Pacific,Growth,141000,2025-01-29
C0373,Northstar Synthetic 373,North America,Enterprise,214000,2024-03-02
C0374,Northstar Synthetic 374,Europe,Mid-Market,177000,2023-08-26
C0375,Northstar Synthetic 375,Asia Pacific,Growth,163000,2025-03-12
C0376,Northstar Synthetic 376,North America,Enterprise,74000,2024-07-10
C0377,Northstar Synthetic 377,Europe,Mid-Market,132000,2025-01-16
C0378,Northstar Synthetic 378,Asia Pacific,Growth,199000,2023-01-07
C0379,Northstar Synthetic 379,North America,Enterprise,75000,2024-12-11
C0380,Northstar Synthetic 380,Europe,Mid-Market,100000,2023-10-23
